單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉	影	開	一	咍	平	影	蟹			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
欸	影	開	一	咍	上	影	蟹			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
哎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			ai	3		ʔ	ai	35		ʔ	ᴀj	35	
霸	幫	開	二	麻	去	幫	假		b	a	1		p	a	23		p	ᴀ	23	
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
伯									b	a	1		p	a	23		p	ᴀ	23	春秋五伯
巴	幫	開	二	麻	平	幫	假		b	a	3		p	a	35		p	ᴀ	35	
芭	幫	開	二	麻	平	幫	假		b	a	3		p	a	35		p	ᴀ	35	
笆	幫	開	二	麻	平	幫	假		b	a	3		p	a	35		p	ᴀ	35	
靶	幫	開	二	麻	去	幫	假		b	a	3		p	a	35		p	ᴀ	35	
把	幫	開	二	麻	上	幫	假		b	a	3		p	a	35		p	ᴀ	35	
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	35		p	ᴀ	35	
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	35		p	ᴀ	35	
爸	並	開	一	歌	上	幫	果		b	a	2		p	a	21		p	ᴀ	21	
罷	並	開	三	支B	平	幫	止		b	a	4		p	a	31		p	ᴀ	31	
罢	並	開	三	支B	平	幫	止		b	a	4		p	a	31		p	ᴀ	31	
吧	滂	開	二	麻	平	幫	假		b	a	4		p	a	31		p	ᴀ	31	
拜	幫	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
湃	滂	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
襬	幫	開	三	支B	平	幫	止		b	ai	3		p	ai	35		p	ᴀj	35	
擺	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	35		p	ᴀj	35	
摆	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	35		p	ᴀj	35	
敗	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	31		p	ᴀj	31	
败	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	31		p	ᴀj	31	
伯	幫	開	二	庚	入	幫	梗		b	ak	8		p	ak	31		p	ᴀk	31	
白	並	開	二	庚	入	幫	梗		b	ak	8		p	ak	31		p	ᴀk	31	
