字頭	聲紐	呼	等	韻部	聲調	組	攝	聲母	韻母	聲調	備註	
咚	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	ung	01		
嘟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	yu	1		
蹧	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	eou	1		
哩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	i	01		
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	op	8		
鏗								h	ang	1	鏗鏘	
榕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	ung	4		
熔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	ung	4		
烷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	yun	4		
氧	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	aa	5		
喲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	aa	6		
魷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	au	4		
旮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	e	6		
桿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	on	2		
槓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ong	3		
僱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	u	3		
傢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	o	1		
餃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ou	2		
咖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	o	1	~哩	
咖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k	o	1	~啡	
卡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k	o	1		
啃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	k	ang	2		
颳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	gw	ot	8		
崑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	gw	an	1		
捆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	gw	an	2		
垮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	kw	o	2		
綑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	kw	an	2		
垃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	op	10		
啦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	aa	1		
旯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	e	3		
擂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ui	4		
妳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	i	5		
煉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	in	6		
晾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ong	6		
琉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	au	4		
嚕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	u	4		
崙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	an	4		
氯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	uk	9		
濾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	yu	6		
濾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	yu	1		
圾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	sl	op	8		
嗦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	sl	eo	1		
簑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	sl	oe	1		
擤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	sl	an	3		
嗎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	o	2		
螞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	o	5		
嘛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	5		
霉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ui	4		
燜	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	an	1		
們	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	un	4		
錳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	5		
瞇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ai	3		
喵	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	eu	01		
瞄	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	iu	4		
您	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	i	5		
裊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	iu	5	本字爲「嫋」	
鎳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	ep	10		
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	i	6		
皺	莊	開	三	尤	去	莊	流	nj	au	3	白讀	
抓	莊	開	二	肴	平	莊	效	nj	o	1	白讀	
癌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	nj	om	4		
硼	滂	開	二	耕	平	幫	梗	b	ang	4		
啪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	aa	2		
砲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	ou	3		
碰	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	ung	3		
乒	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	bb	ing	1		
潑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	ut	7		
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	u	2		
嚐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	aa	4		
晒	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	oi	3		
搧	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	in	1		
甩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	oi	1		
儘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	an	5		
颱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	oi	4		
罈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	om	4		
籐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ang	4		
糰	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	yun	4		
臟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ong	6		
阻	莊	開	三	魚	上	莊	遇	z	eo	2	白讀：~手~腳	
埕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	yng	4	罈子，瓮：酒~|煤氣~	
阻	莊	開	三	魚	上	莊	遇	z	u	2	文讀：~礙	
蚱	莊	開	二	庚	入	莊	梗	z	uk	7		
怎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	im	2	俗作「點」「嚸」	
晌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	aa	2		
櫛	莊	開	三	臻	入	莊	臻	z	it	7		
俎	莊	開	三	魚	上	莊	遇	z	u	2		
掙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1		
劖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	om	4		
她	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	t	o	1		
牠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	t	o	1		
褪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	t	ui	3	~色	
褪								t	an	3	挪開	
側	莊	開	三	蒸	入	莊	曾	c	ak	7		
詐	莊	開	二	麻	去	莊	假	c	o	3	假装	
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	oi	2		
岔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	o	1		
剷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	on	2		
伙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	f	eo	2		
喂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	w	e	6	語助	
餵	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	w	ai	3		
塭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	w	an	1		
噹	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	ang	1		
咯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	uk	7		
囫	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	un	4		
礁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	dd	iu	1		
滸								h	yu	2	地名	
硓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	eou	5		
妮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	i	1		
錨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	au	4		1
嬤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	e	1		
哞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	u	4		
囡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A					
否								p	i	2	否極泰來	
妞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	n	au	2		
趴	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	p	o	1		
幛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	3		
觔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	an	1		
甦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	sl	u	1		
茼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ung	4		
摀	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	w	u	2		
舺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	op	8		
吔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	e	03		
佣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	j	ung	4		
喫								h	ik	7		
茄								g	et	10		
寡								gw	ot	8	1959年字表中記有的讀音	
撈								l	u	1	白讀，撈起	
撈								l	yu	1	白讀，撈去浮在液面的東西	
尿								sl	ui	1	白讀：屙~	
邁								m	on	6	見1959年字表	
杧								m	ang	1		
米								m	ai	1	長度單位，公尺	
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	nj	oi	2	白讀	
彌								n	i	4	阿~陀佛	
捕								p	u	2	見於《玉林话研究》及《广西通志·汉语方言志》	
塑								s	ok	8	見1959年字表及《玉林话研究》	
筒								t	ung	2	腳~骨	
顴								w	un	1		
甌								0	au	1	古民族名，現存於鬱林地名中	
垌								d	ung	6	田地：出~|田~	
峒								d	ung	6	同「垌」	
怎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	am	2		
懋								m	au	6		
瀢								j	ui	6	油膩，油亮	
禤								j	yun	1		
隍								w	ong	4		
龔								g	ung	1		
喳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	o	1		
鉢								bb	ut	7		
齣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	at	7		
埒								l	oet	10		
塤								sl	yun	2		
炸	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	o	3	爆~	
鷯								l	eu	1	~哥：鳥名，能人言	
酋								d	au	4		
猷								j	au	4	大~窩	
巉								s	om	4		
藠								g	iu	6	~子：蒜頭	
唆								sl	oe	1		
䦯								d	i	6		
蟑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aa	1		
娼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aa	1		
強								g	aa	5	勉~	
強								g	aa	6	同「犟」：倔~	
欛								bb	o	3		
垻								bb	o	3		
鏵								w	o	4		
炸	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	ou	3	油~。本字「焯」	
行								0	aa	6	品~	
稼								g	o	3		
抨								p	aa	1		
週	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	au	1		
粳								g	aa	1		
攞								l	eo	2		
疴								0	eo	1		
屙								0	eo	1		
菏								0	eo	4		
砣								d	oe	4		
惰								d	oe	6		
銼								t	oe	3		
刨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ou	4		
呢								n	i	4	~絨	
匕								bb	i	3		
糍								d	i	4		
貍								l	i	4		
尸								s	i	1		
咱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	nj	an	1		
弌								j	at	7		
弎								sl	om	1		
孚								f	u	1		
腑								f	u	2		
麩								w	u	1	「𣗺」的訓讀，麥麩或豆粕製成的餅，可餵牲畜	
嗉								sl	u	3		
牯								g	u	2		
麒								g	i	4		
糬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	eo	6		
餉								j	aa	2		
駒								k	yu	1		
潯								d	am	4		
爪								nj	ou	2	白讀：雞~	
䨙								j	am	4		
罷								b	eo	6	~了（相當於普通話的「還不如……算了」），口語用	
曬								s	oi	3		
揩								g	oi	1		
閡								g	oi	1		
疥								g	oi	3		
蔸								dd	au	1		
褸								l	au	1	大衣	
褸								l	yu	5	襤~	
耬								l	au	4		
餾								l	au	4		
媾								g	au	3	交~	
媾								k	au	1		
彀								g	au	3		
嶠								g	iu	4		
婀								0	o	1		
佞								n	ing	6		
浜								bb	ang	1		
柬								g	on	2		
媛								j	yun	4		
孿								l	yun	4		
餷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	o	1		
窒								z	at	7	白讀。塞入	
奩								l	im	4		
梆								bb	ang	1	~子：粵劇曲牌名	
昉								f	ong	2	李紹~：清朝北流清灣鎮才子	
鑫								h	am	1		
蠱								g	u	2		
樳								d	am	4		
𣎴								dd	an	2	用來維持竹竿、傘等物體直立的石座	
腨								sl	yun	2	~子肉：小腿肉	
謦								k	ing	1		
斌								bb	an	1		
恂								sl	an	1		
臧								dd	ong	1		
鸞								l	yun	4		
查								z	o	1	姓	
䳨								w	ong	4		
糅								n	au	6		
宥								j	au	6		
漚								0	au	3		
毆								0	au	3		
慪								0	au	3		
拗								0	ou	3	~口|屈理~理	
拗								0	ou	2	彎折	
仄								z	ak	7		
捎								s	ou	1		
潲								s	ou	3		
葺								t	ap	7		
悌								t	ai	3		
滇								dd	in	1		
黔								g	em	4		
堃								kw	an	1		
皖								w	on	5		
贛								g	om	3		
鄂								ng	ok	10		
肱								gw	ong	1		
薨								gw	ing	1		
祺								g	i	4		
氦								h	oi	3		
牸								d	i	6		
稗								b	oi	6		
氮								d	om	5		
氖								n	oi	5		
篦								b	i	6		
硅								gw	ai	1		
氬								0	ot	8		
鉀								g	op	8		
鈣								g	oi	3		
鈧								k	ong	3		
鈦								t	oi	3		
釩								f	on	4		
捐	以	合	三	仙A	平	以	山	g	yun	1		
鋅								sl	an	1		
鎵								g	o	1		
芩								z	am	4		
砷								s	an	1		
砒								p	ai	1		
硒								sl	ai	1		
恙								j	aa	6		
氪								h	ak	7		
銣								s	yu	4		
鋰								l	i	4		
釔								j	it	7		
鋯								g	eou	3		
鎂								m	i	5		
鉬								m	uk	9		
鍀								dd	ak	7		
釕								l	iu	5		
銠								l	eou	5		
鈀	幫	開	二	麻	平	幫	假	bb	o	2		
蔚	影	合	三	微	去	影	止	w	ai	3		
銦								0	an	1		
銻								t	ai	1	鋁	
碲								dd	ai	3		
氙								sl	in	1		
銫								s	ik	7		
鋇								bb	ui	3		
鑭								l	on	4		
鍶								sl	i	1		
鐠								p	u	2		
釹								n	yu	5		
鉕								p	eo	2		
釤								s	om	1		
銪								j	au	5		
釓								g	ot	8		
鋱								t	ak	7		
鏑								dd	ik	7		
鈥								w	eo	2		
鈮								n	i	4		
銩								dd	iu	1		
鈰								s	i	5		
鑥								l	u	5		
鉿								h	op	8		
鉭								t	on	2		
鎢								w	u	1		
錸								l	oi	4		
鋨								ng	eo	4		
弍								nj	i	6		
卞								b	in	6		
汞								g	ung	3		1博白
鉈								t	o	1		
鐿								j	i	3		
釙								bb	eo	1		
砹								ng	oi	6		
氡								dd	ung	1		
鈁	幫	合	三	陽	平	幫	宕	f	ong	1		
驤								sl	aa	1		
釷								t	u	2		
鉑								b	ok	10		
鎿								n	o	4		
鈈								bb	at	7		
銥								j	i	1		
醞	影	合	三	文	上	影	臻	w	an	2		
錇								b	ui	4		
鐦								h	oi	1		
鎄								0	oi	1		
鎇								m	i	4		
鍆								m	un	4		
鍩								n	ok	10		
鐒								l	eou	4		
鑪								l	u	4		
鈩								l	u	4		
𨧀								d	u	6		
鐨								f	i	3		
𨨏								bb	eo	1		
𨭆								h	ak	7		
犟								g	aa	6	~頸	
鐽								d	ot	10		
錀								l	an	4		
鎶								g	eo	1		
𨭎								h	i	2		
鈇								f	u	1		
鏌								m	ok	10		
鉝								l	ap	9		
鿬								d	in	4		
鿫								0	eou	3		
吖								0	o	1		
氨								0	on	1		
銨								0	on	2		
胺								0	on	3		
苝								bb	ak	7		
苯								bb	un	2		
鉨								n	i	5		
苄								b	in	6		
錒								0	aa	1		
氘								dd	eou	1		
腖								dd	ung	3		
䥑								m	aa	6		
噁								0	ok	8		
蒽								0	an	1		
矾								f	on	4		
酚								f	an	1		
碸								f	ung	1		
呋								f	u	1		
坩								g	om	1		
堝								gw	eo	1		
胍								gw	o	1		
蒄								g	un	1		
焓								0	om	4		
腈								dd	ing	1		
肼								dd	ing	2		
蒈								k	oi	2		
莰								h	om	2		
喹								gw	ai	4		
醌								kw	an	1		
鏻								l	an	4		
膦								l	an	6		
醚								m	ai	4		
脒								m	ai	5		
嘧								m	at	9		
萘								n	oi	6		
脲								n	eu	6		
哌								p	oi	3		
蒎								p	oi	2		
苉								p	at	7		
氕								p	it	7		
苊								0	aa	2		
鏹								g	aa	2		
氰								d	ing	4		
巰								h	au	1		
䓛								w	at	7		
醛								d	yun	4		
炔								k	yut	7		
賃								nj	am	6		
脎								s	ot	8		
噻								sl	ak	7		
羥								h	aa	2		
鉮								s	an	1		
羧								sl	oe	1		
肽								t	oi	3		
酞								t	oi	3		
熵								s	aa	1		
醣								d	ong	4		
䏲								t	ai	3		
萜								t	ip	7		
烴								t	ing	1		
酮								d	ung	4		
鎓								0	ung	1		
肟								w	ok	8		
芴								m	at	9		
酰								sl	in	1		
吡								bb	i	2		
吲								j	an	5		
哚								dd	oe	2		
箸								z	yu	3		
焯								z	ou	3		
腙								dd	ung	1		
涪								f	au	4		
羰								t	aa	2		
酏								j	i	4		
丌								g	i	1		
㿭								c	aa	2		
鬲								l	ik	9	古炊具	
孬								m	eou	2	「冇好」合音	
𪥸								m	eou	2	「冇好」合音	
丨								gw	an	2		
丕								p	i	1		
丿								p	it	7		
丿								j	ai	6		
鬲								g	aa	2	河流名；通「隔」	
朊								nj	yun	5		
搽								z	o	4		
氐								dd	ai	2		
囟								sl	an	3		
馗								gw	ai	4		
毓								j	uk	7		
鞀								d	eou	4		
鞉								d	eou	4		
鼗								d	eou	4		
柵								c	aa	2	~欄	
鼐								n	oi	6		
乜								m	at	7	方言用字，意爲「甚麼」	
乜								m	e	1	~斜，~斜轍	
乩								g	ai	1		
鉺								nj	i	5		
亓								g	i	4		
孛								b	ui	6		
嘏								g	o	2		
厙								s	e	3		
厴								j	im	2		1
厥								g	yut	7		
禺								nj	yu	4		
匚								f	ong	1		
叵								p	eo	2		
匭								gw	ai	2		
硃								z	yu	1		
卣								j	au	5		
刂								dd	eou	1		
爻								nj	ou	4		
贋								nj	on	6		
剄								g	ing	2		
刳								k	u	1		
劌								g	oe	3		
剴								h	oi	2		
剌								l	ot	10		
羋								m	i	5		
剡								j	im	5		
剡								s	im	5	地名；河流名	
蒯								kw	oi	2		
剽								b	iu	4		
劂								g	yut	7		
劁								d	iu	4		
劐								kw	ok	8		
剞								g	i	1		
冂								gw	ing	1		
扙								z	aa	5		
罔								m	ong	5		
乂								nj	i	6		
苧								z	yu	5		
仂								l	ak	9		
仨								sl	om	1		
仡								ng	at	9	勇壯	
仡								g	ot	8	~佬族：我國少數民族之一，古稱「獦獠」	
仫								m	u	6	~佬族：我國少數民族之一，南北朝時稱「木籠僚」，元朝稱「木佬」「木婁」「木搖」「狇老」	
傴								j	yu	2		
刈								nj	i	6		
伢								0	e	1		
佤								w	o	5	~族：我國少數民族之一。「佤」是佤族人諸多自稱[ˀa vɤˀ][voˀ][vaˀ]的音譯，佤語意爲「門」	
仵								0	ng	5		
昶								c	ong	2		
屬	常	開	三	鍾	入	章	通	s	uk	9		
伉								k	ong	3		
佧								k	o	1	「佤族」舊稱「~佤族」。「~」來源於傣語，意爲「奴隷」，帶有貶低意味，遂改稱	
佝								g	au	1	~僂	
佝								k	au	3	~瞀	
仳								p	i	2		
佶								g	at	9		
伲								n	i	5		
侑								j	au	6		
侉								kw	o	1		
佾								j	at	9		
佻								t	iu	1		
恌								dd	eu	1		
儕								s	oi	4		
佼								g	ou	2		
儂								n	ung	5		
侔								m	au	4		
哂								z	an	2		
儷								l	ai	6		
卺								z	an	2		
劓								nj	i	6		
亻								nj	an	4		
俜								p	ing	1		
俚								l	i	1		
俟								s	i	6		
万								m	ak	9	~俟：複姓	
俟								g	i	4	~俟：複姓	
俳								b	oi	4		
逑								z	au	4		
倮								l	oe	5		
倭								w	eo	1	日本	
倭								w	eo	2	~墮	
佴								nj	i	6		
倜								t	ik	7		
倥								h	ung	1	~侗：無知	
倥								h	ung	2	~傯：事迫促；窮困	
倨								g	yu	3		
僨								f	an	3		
偃								j	in	2		
偈								g	et	10		
傯								dd	ung	2		
僂								l	au	4		
儻								t	ong	2		
儐								bb	an	3		
儺								n	eo	4		
溴								c	au	3		
俾								bb	i	2		
儆								g	ing	2		
僭								dd	im	3		
僬								dd	iu	1		
僦								dd	au	3		
儇								j	yun	1		
儋								dd	om	1	~州：在海南	
氽								t	an	2		
僉								t	im	1		
吂								m	aa	5	没有	
汆								t	yun	1		
糴								d	ik	9		
巽								sl	yun	3		
龠								j	aa	6		
馘								gw	ik	7		
氚								c	yun	1		
夔								gw	ai	4		
勹								bb	ou	1		
訇								h	ung	1		
鳧								f	u	4		
僖								h	i	1		
亠								d	au	4		
兗								j	yun	5		
亳								b	ok	10		
袞								gw	an	2		
袤								m	au	6		
褻								sl	it	7		
臠								l	yun	5		
裒								b	au	4		
嬴								0	ing	4		
蠃								l	oe	5		
羸								l	ui	4		
冫								bb	ing	1		
仌								bb	ing	1		
冱								k	oe	1		
冼								sl	in	2		
凇								sl	ung	1		
冖								m	ik	9		
俁								nj	yu	5		
偌								nj	e	6		
訐								k	it	7		
詎								g	yu	5		
訥								n	at	7		
詆								dd	ai	2		
帚								z	ou	2		
詘								kw	at	7		
詒								d	oi	5	騙	
誄								l	ui	5		
詿								gw	o	3		
詰								k	it	7		
詼								w	ui	1		
詵								s	an	1		
詬								g	au	3		
諢								w	an	6		
詡								h	yu	2		
誚								d	iu	6		
誥								g	eou	3		
誑								gw	ong	4		
兕								d	i	5		
諏								dd	au	1		
鍺								z	e	2		
諉								w	ai	2		
諗								n	am	2		
誶								sl	ui	3		
諶								s	am	4		
謁								j	it	7		
諤								ng	ok	10		
諼								j	yun	1		
諞								b	in	5		
讜								dd	ong	2		
謖								s	uk	7		
誒								j	i	1		
謚								0	ik	7	笑聲。關於「皇帝死後追號」之義見「諡」	
謫								dd	ik	7		
譾								dd	in	2		
甾								z	oi	1		
譙								d	iu	4		
譎								g	yut	7		
讠								nj	in	4		
諡								s	i	6		
亍								c	uk	7		
卩								dd	it	7		
酯								z	i	2		
阝								f	au	6	在左。同「阜」	
阝								j	ap	7	在右，同「邑」	
阢								ng	at	9		
阽								dd	im	3		
阼								d	u	6		
卮								z	i	1		
陘								0	ing	4		
陔								g	oi	1		
丶								z	yu	2		
隉								n	et	10		
陬								dd	au	1		
陲								s	ui	4		
陂								bb	i	1		
隈								w	ui	1		
隗								ng	ai	6		
隰								d	ap	9		
邗								0	on	4		
邛								g	ung	4		
鄺								kw	ong	3		
邙								m	ong	4		
鄔								w	u	1		
邡								f	ong	1		
邴								bb	ing	2		
邶								b	ui	6		
訁								nj	in	4		
邰								t	oi	1		
郟								g	op	8		
儔								z	au	4		
俅								z	au	4		
鄶								gw	oi	3		
郤								kw	ik	7		
郇								sl	yun	1		
鄆								w	an	6		
陴								b	i	4		
郢								0	ing	5		
郜								g	eou	3		
乇								c	ak	7		
郛								f	u	1		
酈								l	i	4		
郯								d	om	4		
郾								j	in	2		
鄄								g	yun	3		
鄢								j	in	1		
鄞								ng	an	4		
倬								z	ok	8		
鄱								b	eo	4		
鄯								s	in	6		
詔								z	iu	3		
酃								l	ing	4		
酆								f	ung	1		
傺								c	ai	3		
勱								m	oi	6		
劬								g	yu	4		
哿								g	eo	2		
勖								h	uk	7		
勰								j	ip	7		
燮								sl	ip	7		
黌								w	aa	4		
廴								j	an	5		
凵								h	om	2		
氹								d	am	5		
囅								c	it	7		
郫								b	i	4		
厶								m	au	5	同「某」	
弁								b	in	6		
坌								b	an	6		
垡								f	ot	10		
墼								g	ak	9		
壅								0	ung	1		
圩								w	ai	4	關於「集市」之「圩」見「墟」	
圬								w	u	1		
圪								ng	at	9		
壙								kw	ong	3		
厶								sl	i	1	同「私」	
壢								l	ik	7		
圯								j	i	4		
圻								ng	an	4	同「垠」	
坫								dd	im	3		
壚								l	u	4		
諑								z	ok	8		
坻								dd	ai	2	山坡	
坨								d	eo	4		
坭								n	ai	4		
坶								m	uk	9	同「牧野」之「牧」	
坶								m	u	5	「壚~」「阿~坪」	
坳								0	ou	3		
垤								d	et	10		
塏								h	oi	2		
埏								j	in	4		
埏								s	in	1	以水和泥「~埴」	
坰								gw	ing	1		
堖								n	eou	5		
垓								g	oi	1		
圻								g	i	4		
垸								j	yun	4		
垸								j	yun	6	兩湖地區指湖堤	
譖								z	am	3		
垵								j	im	2		
埯								j	im	2		
埸								0	ik	9		
塒								s	i	4		
埤								p	ai	3	~堄	
堋								bb	ang	3	下葬	
堋								b	ang	4	充當箭靶的矮墙；分水的堤壩	
堍								t	u	3		
埽								sl	eou	2		
埽								sl	eou	3	通「掃」	
埭								d	oi	6		
堀								w	at	7	同「窟」，孔穴	
堀								gw	at	9	突出	
堞								d	ep	10		
堙								0	an	1		
塄								l	ang	4		
堠								0	au	6		
矍								g	aa	2		
墁								m	un	4		
㙢								m	un	4		
暪								m	un	4		
墉								j	ung	4		
塥								g	aa	2		
譫								z	im	1		
鼙								b	i	4		
艹								t	eou	2		
艸								t	eou	2		
巹								z	an	2		
艽								g	ou	1	秦~	
艿								n	oi	5	芋~	
艿								ng	ing	4	亂草，雜草	
芏								d	u	6		
芊								t	in	1		
陟								z	ik	7		
芄								j	yun	4		
芎								h	ung	1		
埤								b	i	4		
墚								l	aa	4		
芫								j	yun	4		
芫								j	im	4	俗	
芑								h	i	2		
藶								l	ik	9		
苣								g	yu	5		
