读音	字目	备注	声调符号	
pa44	巴		阴平	44
pa44	芭		阳平	13
pa44	疤		上声	31
pa44	爸		去声	53
pa13	揹		阴入	2
pa31	把		阳入	4
pa53	霸			
pa53	壩			
pʰa13	爬			
pʰa13	琶			
pʰa13	杷			
pʰa13	耙			
pʰa31	罷			
pʰa53	怕			
ma44	馬			
ma44	碼			
ma13	麻			
ma13	痲			
ma13	嫲			
ma53	罵			
fa44	花			
fa13	華			
fa13	划			
fa31	畫			
fa53	化			
va44	蛙			
va44	漥			
va31	話			
ta31	打			
tʰa44	他			
na44	拿			
la44	拉			
la13	邏			
tsa44	渣			
tsa44	抓			
tsa53	詐			
tsa53	榨			
tsa53	炸			
tsa53	窄			
tsʰa44	叉			
tsʰa44	差			
tsʰa44	釵			
tsʰa13	茶			
tsʰa13	搽			
tsʰa13	查			
tsʰa53	岔			
sa44	沙			
sa44	紗			
sa31	灑			
sa31	撒			
tʃa44	遮			
tʃa31	者			
tʃa53	蔗			
tʃʰa44	車			
tʃʰa44	賒			
tsʰa31	扯			
ʃa44	社			
ʃa13	蛇			
ʃa31	捨			
ʃa31	射			
ʃa53	赦			
ʃa53	舍			
ka44	家			
ka44	加			
ka44	痂			
ka44	嘉			
ka44	傢			
ka44	瓜			
ka44	佳			
ka44	豭			
ka31	假	真~，放~		
ka31	寡			
ka53	賈			
ka53	架			
ka53	駕			
ka53	嫁			
ka53	價			
ka53	掛			
ka53	卦			
kʰa44	誇			
kʰa44	跨			
kʰa44	桍	樹~		
ŋa13	牙			
ŋa13	芽			
ŋa13	衙			
ŋa13	伢			
ŋa31	雅			
ŋa31	瓦			
ha44	下	底~ 		
ha13	蝦			
ha13	霞			
ha31	廈			
ha31	夏			
a44	阿			
a44	鴉			
a44	亞			
a31	啞			
tsia31	姐			
tsia31	姊			
tsia53	借			
tsia53	藉			
tsʰia31	且			
tsʰia31	謝			
tsʰia53	笡			
sia44	些			
sia13	邪			
sia13	斜			
sia31	寫			
sia53	瀉			
sia53	卸			
ŋia44	惹			
ia44	也			
ia44	野			
ia13	爺			
ia31	野	~外		
ia31	夜			
te31	抵			
tsʰe13	齊			
se44	絲	~瓜		
se31	洗			
se53	細			
se53	壻			
tʃʰe53	滯			
ʃe44	舐			
ʃe31	事			
kʰe53	契			
e13	騃	笨		
kie44	佢	~兜(他們)		
pi44	蓖			
pi44	杯			
pi44	碑			
pi44	卑			
pi44	婢			
pi44	悲			
pi44	飛			
pi44	陂			
pi31	弊			
pi31	彼			
pi31	臂			
pi31	比			
pi53	貝			
pi53	蔽			
pi53	幣			
pi53	斃			
pi53	閉			
pi53	輩			
pi53	秘			
pi53	泌			
pi53	庇			
pi53	沸			
pʰi44	批			
pʰi44	胚			
pʰi44	披			
pʰi44	被	棉~		
pʰi44	丕			
pʰi13	培			
pʰi13	陪			
pʰi13	皮			
pʰi13	疲			
pʰi13	脾			
pʰi13	鄙			
pʰi13	肥			
pʰi31	倍			
pʰi31	佩			
pʰi31	備			
pʰi31	鼻			
pʰi53	沛			
pʰi53	配			
pʰi53	肺			
pʰi53	屁			
mi44	每			
mi44	美			
mi44	尾			
mi13	迷			
mi13	謎			
mi13	眉			
mi13	媚			
mi13	微			
mi31	米			
mi31	味			
fi44	非			
fi44	飛			
fi44	妃			
fi44	匪			
fi44	揮			
fi44	輝			
fi44	徽			
fi13	回			
fi13	茴			
fi31	賄			
fi31	悔			
fi31	匯			
fi31	晦			
fi31	會	開~		
fi31	繪			
fi31	惠			
fi31	慧			
fi31	諱			
fi53	廢			
fi53	毀			
fi53	費			
fi53	彙			
vi44	萎			
vi44	委			
vi44	威			
vi13	為	作~		
vi13	維			
vi13	遺			
vi13	違			
vi13	圍			
vi31	衛			
vi31	位			
vi31	未			
vi31	偉			
vi31	緯			
