繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
穿	穿	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
舩	舩	s	iong	2	siong	siong2	siɔŋ²¹			
船	船	s	iong	2	siong	siong2	siɔŋ²¹			
椽	椽	j	ong	2	jong	jong2	jɔŋ²¹			
傳	传	c	iong	2	ciong	ciong2	tsʰiɔŋ²¹	~达。		
傳	传	z	iong	1h	ziong	ziong1h	tsiɔŋ⁵⁵	~记。		
喘	喘	c	iong	3	ciong	ciong3	tsʰiɔŋ¹¹			
串	串	c	iong	5	ciong	ciong5	tsʰiɔŋ²⁴			
窗	窗	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
瘡	疮	c	ong	1	cong	cong1	tsʰɔŋ³⁵			
瘡	疮	c	ong	1h	cong	cong1h	tsʰɔŋ⁵⁵			
床	床	c	ong	2	cong	cong2	tsʰɔŋ²¹			
牀	床	c	ong	2	cong	cong2	tsʰɔŋ²¹			
闖	闯	c	ong	3	cong	cong3	tsʰɔŋ¹¹			
刱	刱	c	ong	6	cong	cong6	tsʰɔŋ³²			
創	创	c	ong	6	cong	cong6	tsʰɔŋ³²			
創	创	c	ong	1	cong	cong1	tsʰɔŋ³⁵			
創	创	c	ong	1h	cong	cong1h	tsʰɔŋ⁵⁵			
吹	吹	c	ui	1	cui	cui1	tsʰui³⁵			
吹	吹	c	ui	1h	cui	cui1h	tsʰui⁵⁵			
炊	炊	c	ui	1	cui	cui1	tsʰui³⁵			
炊	炊	c	ui	1h	cui	cui1h	tsʰui⁵⁵			
垂	垂	s	ui	2	sui	sui2	sui²¹			
桘	桘	c	ui	2	cui	cui2	tsʰui²¹			
槌	槌	c	ui	2	cui	cui2	tsʰui²¹			
錘	锤	c	ui	2	cui	cui2	tsʰui²¹			
春	春	c	ang	1	cang	cang1	tsʰɐŋ³⁵			
春	春	c	ang	1h	cang	cang1h	tsʰɐŋ⁵⁵			
純	纯	s	ang	2	sang	sang2	sɐŋ²¹			
脣	唇	s	ang	2	sang	sang2	sɐŋ²¹			
蒓	莼	s	ang	2	sang	sang2	sɐŋ²¹			
醇	醇	s	ang	2	sang	sang2	sɐŋ²¹			
蠢	蠢	c	ang	3	cang	cang3	tsʰɐŋ¹¹			
綽	绰	c	io	1	cio	cio1	tsʰiɔ³⁵			
疵	疵	c	i	1h	ci	ci1h	tsʰi⁵⁵			
祠	祠	c	i	2	ci	ci2	tsʰi²¹			
瓷	瓷	c	i	2	ci	ci2	tsʰi²¹			
詞	词	c	i	2	ci	ci2	tsʰi²¹			
辝	辝	c	i	2	ci	ci2	tsʰi²¹			
慈	慈	c	i	2	ci	ci2	tsʰi²¹			
雌	雌	c	i	1h	ci	ci1h	tsʰi⁵⁵			
辤	辞	c	i	2	ci	ci2	tsʰi²¹			
餈	餈	c	i	2	ci	ci2	tsʰi²¹			
磁	磁	c	i	2	ci	ci2	tsʰi²¹			
辭	辞	c	i	2	ci	ci2	tsʰi²¹			
此	此	c	i	3	ci	ci3	tsʰi¹¹			
次	次	c	i	5	ci	ci5	tsʰi²⁴			
刺	刺	c	i	5	ci	ci5	tsʰi²⁴			
刾	刾	c	i	5	ci	ci5	tsʰi²⁴			
賜	赐	c	i	5	ci	ci5	tsʰi²⁴			
囪	囱	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
怱	怱	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
葱	葱	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
聦	聦	c	ung	1h	cung	cung1h	tsʰʊŋ⁵⁵			
緫	緫	z	ung	3	zung	zung3	tsʊŋ¹¹			
从	从	c	ung	2	cung	cung2	tsʰʊŋ²¹			
從	从	c	ung	2	cung	cung2	tsʰʊŋ²¹			
叢	丛	c	ung	2	cung	cung2	tsʰʊŋ²¹			
湊	凑	c	au	5	cau	cau5	tsʰɐu²⁴			
粗	粗	c	ou	1	cou	cou1	tsʰou³⁵			
粗	粗	c	ou	1h	cou	cou1h	tsʰou⁵⁵			
促	促	c	uq	7	cuq	cuq7	tsʰʊʔ⁵⁵			
猝	猝	z	aq	7	zaq	zaq7	tsɐʔ⁵⁵			
醋	醋	c	ou	5	cou	cou5	tsʰou²⁴			
篡	篡	s	aang	5	saang	saang5	saŋ²⁴			
竄	窜	c	iong	5	ciong	ciong5	tsʰiɔŋ²⁴			
崔	崔	c	ui	1h	cui	cui1h	tsʰui⁵⁵			
催	催	c	ui	1	cui	cui1	tsʰui³⁵			
催	催	c	ui	1h	cui	cui1h	tsʰui⁵⁵			
脆	脆	c	ui	5	cui	cui5	tsʰui²⁴			
脃	脃	c	ui	5	cui	cui5	tsʰui²⁴			
粹	粹	s	ui	5	sui	sui5	sui²⁴			
翠	翠	c	ui	5	cui	cui5	tsʰui²⁴			
膬	膬	c	ui	5	cui	cui5	tsʰui²⁴			
村	村	c	iong	1	ciong	ciong1	tsʰiɔŋ³⁵			
村	村	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
存	存	c	iong	2	ciong	ciong2	tsʰiɔŋ²¹			
忖	忖	c	iong	3	ciong	ciong3	tsʰiɔŋ¹¹			
寸	寸	c	iong	5	ciong	ciong5	tsʰiɔŋ²⁴			
搓	搓	c	o	1	co	co1	tsʰɔ³⁵			
搓	搓	c	o	1h	co	co1h	tsʰɔ⁵⁵			
撮	撮	z	aq	7	zaq	zaq7	tsɐʔ⁵⁵			
措	措	c	ou	5	cou	cou5	tsʰou²⁴			
銼	锉	c	o	5	co	co5	tsʰɔ²⁴			
錯	错	c	o	5	co	co5	tsʰɔ²⁴	~误。		
錯	错	c	o	1	co	co1	tsʰɔ³⁵	~杂。		
撘	撘	d	aa	1	daa	daa1	ta³⁵			
達	达	d	aeq	8	daeq	daeq8	tæʔ²¹¹			
答	答	d	aa	1	daa	daa1	ta³⁵			
打	打	d	aa	3	daa	daa3	ta¹¹			
大	大	d	aai	6	daai	daai6	tai³²			
獃	呆	ng	ui	2	ngui	ngui2	ŋui²¹			
代	代	d	ui	5	dui	dui5	tui²⁴			
帒	帒	d	ui	5	dui	dui5	tui²⁴			
殆	殆	d	ui	3	dui	dui3	tui¹¹			
待	待	d	ui	3	dui	dui3	tui¹¹			
怠	怠	d	ui	3	dui	dui3	tui¹¹			
帶	带	d	aai	5	daai	daai5	tai²⁴			
袋	袋	d	ui	5	dui	dui5	tui²⁴			
貸	贷	t	aai	6	taai	taai6	tʰai³²			
戴	戴	d	aai	5	daai	daai5	tai²⁴			
丹	丹	d	aang	1h	daang	daang1h	taŋ⁵⁵			
耽	耽	d	aang	1h	daang	daang1h	taŋ⁵⁵			
單	单	d	aang	1h	daang	daang1h	taŋ⁵⁵	~独。		
單	单	s	ing	6	sing	sing6	siŋ³²	姓。		
撣	掸	t	aeng	3	taeng	taeng3	tʰæŋ¹¹	鸡毛~子。		
擔	担	d	aang	1h	daang	daang1h	taŋ⁵⁵	~任。		
擔	担	d	aang	6	daang	daang6	taŋ³²	挑~。		
膽	胆	d	aang	3	daang	daang3	taŋ¹¹			
旦	旦	d	aang	6	daang	daang6	taŋ³²			
但	但	d	aeng	6	daeng	daeng6	tæŋ³²			
淡	淡	t	aang	3	taang	taang3	tʰaŋ¹¹			
誕	诞	d	aeng	6	daeng	daeng6	tæŋ³²			
彈	弹	d	aeng	6	daeng	daeng6	tæŋ³²	子~。		
彈	弹	t	aeng	2	taeng	taeng2	tʰæŋ²¹	~琴。		
當	当	d	ong	1	dong	dong1	tɔŋ³⁵	~时。		
當	当	d	ong	1h	dong	dong1h	tɔŋ⁵⁵	~时。		
當	当	d	ong	5	dong	dong5	tɔŋ²⁴	~作。		
擋	挡	d	ong	3	dong	dong3	tɔŋ¹¹			
黨	党	d	ong	3	dong	dong3	tɔŋ¹¹			
宕	宕	t	ong	6	tong	tong6	tʰɔŋ³²			
蕩	荡	d	ong	6	dong	dong6	tɔŋ³²			
刀	刀	d	ou	1	dou	dou1	tou³⁵			
刀	刀	d	ou	1h	dou	dou1h	tou⁵⁵			
叨	叨	d	ou	1h	dou	dou1h	tou⁵⁵			
倒	倒	d	ou	3	dou	dou3	tou¹¹	打~。		
倒	倒	d	ou	5	dou	dou5	tou²⁴	~水。		
導	导	d	ou	6	dou	dou6	tou³²			
禱	祷	d	ou	3	dou	dou3	tou¹¹			
到	到	d	ou	5	dou	dou5	tou²⁴			
道	道	d	ou	6	dou	dou6	tou³²			
盜	盗	d	ou	6	dou	dou6	tou³²			
稻	稻	d	ou	6	dou	dou6	tou³²			
得	得	d	aq	7	daq	daq7	tɐʔ⁵⁵			
惪	惪	d	aq	7	daq	daq7	tɐʔ⁵⁵			
德	德	d	aq	7	daq	daq7	tɐʔ⁵⁵			
的	的	d	eq	7	deq	deq7	teʔ⁵⁵			
扽	扽	d	ang	6	dang	dang6	tɐŋ³²			
登	登	d	ang	1h	dang	dang1h	tɐŋ⁵⁵			
燈	灯	d	ang	1	dang	dang1	tɐŋ³⁵			
燈	灯	d	ang	1h	dang	dang1h	tɐŋ⁵⁵			
等	等	d	ang	3	dang	dang3	tɐŋ¹¹			
凳	凳	d	ang	5	dang	dang5	tɐŋ²⁴			
鄧	邓	d	ang	6	dang	dang6	tɐŋ³²			
瞪	瞪	c	eng	2	ceng	ceng2	tsʰeŋ²¹			
瞪	瞪	d	ang	1h	dang	dang1h	tɐŋ⁵⁵	~眼。		
鐙	镫	d	ang	5	dang	dang5	tɐŋ²⁴			
低	低	d	ai	1	dai	dai1	tɐi³⁵			
低	低	d	ai	1h	dai	dai1h	tɐi⁵⁵			
堤	堤	t	ai	2	tai	tai2	tʰɐi²¹			
滴	滴	d	eq	8	deq	deq8	teʔ²¹¹			
狄	狄	d	iq	8	diq	diq8	tiʔ²¹¹			
籴	籴	d	iaa	1	diaa	diaa1	tia³⁵			
笛	笛	d	iaa	1	diaa	diaa1	tia³⁵			
嫡	嫡	d	eq	8	deq	deq8	teʔ²¹¹			
敵	敌	d	iq	8	diq	diq8	tiʔ²¹¹			
糴	籴	d	iaa	1	diaa	diaa1	tia³⁵			
抵	抵	d	ai	3	dai	dai3	tɐi¹¹			
底	底	d	ai	3	dai	dai3	tɐi¹¹			
地	地	d	ai	6	dai	dai6	tɐi³²			
弟	弟	d	ai	2	dai	dai2	tɐi²¹			
帝	帝	d	ai	6	dai	dai6	tɐi³²			
第	第	d	ai	2	dai	dai2	tɐi²¹			
遞	递	d	ai	2	dai	dai2	tɐi²¹			
掂	掂	d	ing	2	ding	ding2	tiŋ²¹			
顛	颠	d	ing	1	ding	ding1	tiŋ³⁵			
典	典	d	ing	3	ding	ding3	tiŋ¹¹			
點	点	d	ing	3	ding	ding3	tiŋ¹¹			
佃	佃	d	ing	6	ding	ding6	tiŋ³²			
店	店	d	ing	6	ding	ding6	tiŋ³²			
奠	奠	d	ing	6	ding	ding6	tiŋ³²			
電	电	d	ing	6	ding	ding6	tiŋ³²			
殿	殿	d	ing	6	ding	ding6	tiŋ³²			
刁	刁	d	iu	1h	diu	diu1h	tiu⁵⁵			
貂	貂	d	iu	1h	diu	diu1h	tiu⁵⁵			
雕	雕	d	iu	1h	diu	diu1h	tiu⁵⁵			
鵰	鵰	d	iu	1h	diu	diu1h	tiu⁵⁵			
弔	吊	d	iu	5	diu	diu5	tiu²⁴			
掉	掉	d	iu	6	diu	diu6	tiu³²			
釣	钓	d	iu	5	diu	diu5	tiu²⁴			
調	调	d	iu	6	diu	diu6	tiu³²	音~、~动。		
調	调	t	iu	2	tiu	tiu2	tʰiu²¹	~和。		
爹	爹	d	iaa	1h	diaa	diaa1h	tia⁵⁵			
牒	牒	d	ieq	8	dieq	dieq8	tieʔ²¹¹			
蝶	蝶	d	ieq	8	dieq	dieq8	tieʔ²¹¹			
諜	谍	d	ieq	8	dieq	dieq8	tieʔ²¹¹			
曡	叠	d	ieq	8	dieq	dieq8	tieʔ²¹¹			
疊	迭	d	ieq	8	dieq	dieq8	tieʔ²¹¹			
丁	丁	d	eng	1	deng	deng1	teŋ³⁵			
丁	丁	d	eng	1h	deng	deng1h	teŋ⁵⁵			
疔	疔	d	eng	1	deng	deng1	teŋ³⁵			
釘	钉	d	iaang	1h	diaang	diaang1h	tiaŋ⁵⁵	~住。		
釘	钉	d	eng	1h	deng	deng1h	teŋ⁵⁵	铁~。文读。		
釘	钉	d	iaang	1h	diaang	diaang1h	tiaŋ⁵⁵	铁~。白读。		
靪	靪	d	eng	1h	deng	deng1h	teŋ⁵⁵			
頂	顶	d	eng	3	deng	deng3	teŋ¹¹			
鼎	鼎	d	eng	3	deng	deng3	teŋ¹¹			
定	定	d	eng	5	deng	deng5	teŋ²⁴			
訂	订	d	eng	6	deng	deng6	teŋ³²			
錠	锭	d	eng	1h	deng	deng1h	teŋ⁵⁵			
丟	丢	d	iu	1h	diu	diu1h	tiu⁵⁵			
丟	丢	d	iu	1	diu	diu1	tiu³⁵			
冬	冬	d	ung	1	dung	dung1	tʊŋ³⁵			
冬	冬	d	ung	1h	dung	dung1h	tʊŋ⁵⁵			
東	东	d	ung	1	dung	dung1	tʊŋ³⁵			
東	东	d	ung	1h	dung	dung1h	tʊŋ⁵⁵			
菄	菄	d	ung	1	dung	dung1	tʊŋ³⁵			
菄	菄	d	ung	1h	dung	dung1h	tʊŋ⁵⁵			
董	董	d	ung	3	dung	dung3	tʊŋ¹¹			
洞	洞	d	ung	6	dung	dung6	tʊŋ³²			
凍	冻	d	ung	5	dung	dung5	tʊŋ²⁴			
動	动	d	ung	6	dung	dung6	tʊŋ³²			
棟	栋	d	ung	6	dung	dung6	tʊŋ³²			
都	都	d	ou	1h	dou	dou1h	tou⁵⁵			
兜	兜	d	au	1h	dau	dau1h	tɐu⁵⁵			
阧	阧	d	au	3	dau	dau3	tɐu¹¹			
抖	抖	d	au	3	dau	dau3	tɐu¹¹			
陡	陡	d	au	3	dau	dau3	tɐu¹¹			
斗	斗	d	au	3	dau	dau3	tɐu¹¹			
豆	豆	d	au	6	dau	dau6	tɐu³²			
逗	逗	d	au	6	dau	dau6	tɐu³²			
鬥	斗	d	au	5	dau	dau5	tɐu²⁴			
督	督	d	uq	7	duq	duq7	tʊʔ⁵⁵			
毒	毒	t	uq	8	tuq	tuq8	tʰʊʔ²¹¹			
獨	独	d	uq	8	duq	duq8	tʊʔ²¹¹			
犢	犊	d	uq	8	duq	duq8	tʊʔ²¹¹			
牘	牍	t	uq	8	tuq	tuq8	tʰʊʔ²¹¹			
讀	读	t	uq	8	tuq	tuq8	tʰʊʔ²¹¹			
堵	堵	d	ou	3	dou	dou3	tou¹¹			
賭	赌	d	ou	3	dou	dou3	tou¹¹			
篤	笃	d	uq	7	duq	duq7	tʊʔ⁵⁵			
杜	杜	d	ou	6	dou	dou6	tou³²			
肚	肚	t	ou	3	tou	tou3	tʰou¹¹			
妒	妒	d	ou	6	dou	dou6	tou³²			
度	度	d	ou	6	dou	dou6	tou³²			
渡	渡	d	ou	6	dou	dou6	tou³²			
鍍	镀	d	ou	6	dou	dou6	tou³²			
端	端	d	iong	1h	diong	diong1h	tiɔŋ⁵⁵			
短	短	d	iong	3	diong	diong3	tiɔŋ¹¹			
段	段	d	iong	6	diong	diong6	tiɔŋ³²			
椴	椴	d	iong	6	diong	diong6	tiɔŋ³²			
緞	缎	d	iong	6	diong	diong6	tiɔŋ³²			
鍛	锻	d	iong	6	diong	diong6	tiɔŋ³²			
斷	断	t	iong	6	tiong	tiong6	tʰiɔŋ³²	~绝。		
斷	断	d	iong	5	diong	diong5	tiɔŋ²⁴	决~。文读。		
斷	断	t	iong	5	tiong	tiong5	tʰiɔŋ²⁴	决~。白读。		
堆	堆	d	ui	1	dui	dui1	tui³⁵			
堆	堆	d	ui	1h	dui	dui1h	tui⁵⁵			
兌	兑	d	ui	5	dui	dui5	tui²⁴			
隊	队	d	ui	3	dui	dui3	tui¹¹			
碓	碓	d	ui	5	dui	dui5	tui²⁴			
對	对	d	ui	5	dui	dui5	tui²⁴			
敦	敦	d	ang	1h	dang	dang1h	tɐŋ⁵⁵			
墩	墩	d	ang	2	dang	dang2	tɐŋ²¹			
蹲	蹲	z	iong	1h	ziong	ziong1h	tsiɔŋ⁵⁵			
沌	沌	t	ang	3	tang	tang3	tʰɐŋ¹¹			
盾	盾	t	ang	3	tang	tang3	tʰɐŋ¹¹			
遁	遁	d	ang	6	dang	dang6	tɐŋ³²			
鈍	钝	d	ang	6	dang	dang6	tɐŋ³²			
頓	顿	d	ang	6	dang	dang6	tɐŋ³²			
多	多	d	o	1	do	do1	tɔ³⁵			
多	多	d	o	1h	do	do1h	tɔ⁵⁵			
奪	夺	d	ioq	8	dioq	dioq8	tiɔʔ²¹¹			
踱	踱	d	oq	8	doq	doq8	tɔʔ²¹¹			
鐸	铎	d	oq	8	doq	doq8	tɔʔ²¹¹			
朵	朵	d	o	3	do	do3	tɔ¹¹			
朶	朶	d	o	3	do	do3	tɔ¹¹			
躲	躲	d	o	3	do	do3	tɔ¹¹			
刴	刴	d	io	5	dio	dio5	tiɔ²⁴			
剁	剁	d	io	5	dio	dio5	tiɔ²⁴			
舵	舵	t	o	2	to	to2	tʰɔ²¹			
惰	惰	d	o	3	do	do3	tɔ¹¹			
俄	俄	ng	o	1	ngo	ngo1	ŋɔ³⁵			
訛	讹	ng	io	1	ngio	ngio1	ŋiɔ³⁵			
蛾	蛾	ng	ai	3	ngai	ngai3	ŋɐi¹¹			
蛾	蛾	ng	o	1	ngo	ngo1	ŋɔ³⁵			
鵝	鹅	ng	o	1	ngo	ngo1	ŋɔ³⁵			
鵝	鹅	ng	o	1h	ngo	ngo1h	ŋɔ⁵⁵			
額	额	ng	aeq	8	ngaeq	ngaeq8	ŋæʔ²¹¹			
譌	讹	ng	io	1	ngio	ngio1	ŋiɔ³⁵			
鄂	鄂	ng	oq	8	ngoq	ngoq8	ŋɔʔ²¹¹			
惡	恶	w	u	6	wu	wu6	wu³²	可~。		
惡	恶	x	o	1	o	o1	ɔ³⁵	善~。		
軶	軶	x	aaq	7	aaq	aaq7	aʔ⁵⁵			
軛	轭	x	aaq	7	aaq	aaq7	aʔ⁵⁵			
餓	饿	w	o	6	wo	wo6	wɔ³²			
恩	恩	j	ang	1h	jang	jang1h	jɐŋ⁵⁵			
而	而	j	i	2	ji	ji2	ji²¹			
兒	儿	j	i	2	ji	ji2	ji²¹			
耳	耳	j	i	3	ji	ji3	ji¹¹			
爾	尔	j	i	3	ji	ji3	ji¹¹			
餌	饵	n	ai	6	nai	nai6	nɐi³²			
二	二	j	i	6	ji	ji6	ji³²			
貳	贰	j	i	6	ji	ji6	ji³²			
發	发	f	ae	1	fae	fae1	fæ³⁵			
廢	废	f	ai	5	fai	fai5	fɐi²⁴			
乏	乏	f	aeq	8	faeq	faeq8	fæʔ²¹¹			
伐	伐	f	aeq	8	faeq	faeq8	fæʔ²¹¹			
栰	栰	f	aeq	8	faeq	faeq8	fæʔ²¹¹			
筏	筏	f	aeq	8	faeq	faeq8	fæʔ²¹¹			
罰	罚	f	aeq	8	faeq	faeq8	fæʔ²¹¹			
法	法	f	ae	1	fae	fae1	fæ³⁵			
髮	发	f	ae	1	fae	fae1	fæ³⁵			
帆	帆	f	aang	2	faang	faang2	faŋ²¹			
番	番	f	aeng	1	faeng	faeng1	fæŋ³⁵			
番	番	f	aeng	1h	faeng	faeng1h	fæŋ⁵⁵			
藩	藩	f	aeng	2	faeng	faeng2	fæŋ²¹			
藩	藩	f	aeng	1	faeng	faeng1	fæŋ³⁵			
藩	藩	f	aeng	1h	faeng	faeng1h	fæŋ⁵⁵			
翻	翻	f	aeng	1	faeng	faeng1	fæŋ³⁵			
翻	翻	f	aeng	1h	faeng	faeng1h	fæŋ⁵⁵			
凡	凡	f	aang	2	faang	faang2	faŋ²¹			
煩	烦	f	aeng	2	faeng	faeng2	fæŋ²¹			
繁	繁	f	aeng	2	faeng	faeng2	fæŋ²¹			
礬	矾	f	aeng	2	faeng	faeng2	fæŋ²¹			
反	反	f	aeng	3	faeng	faeng3	fæŋ¹¹			
犯	犯	f	aang	6	faang	faang6	faŋ³²			
汎	泛	f	aang	6	faang	faang6	faŋ³²			
泛	泛	f	aang	6	faang	faang6	faŋ³²			
范	范	f	aang	6	faang	faang6	faŋ³²			
販	贩	f	aeng	1	faeng	faeng1	fæŋ³⁵			
販	贩	f	aeng	1h	faeng	faeng1h	fæŋ⁵⁵			
飯	饭	f	aeng	6	faeng	faeng6	fæŋ³²			
範	范	f	aang	6	faang	faang6	faŋ³²			
方	方	f	ong	1	fong	fong1	fɔŋ³⁵			
方	方	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
芳	芳	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
防	防	f	ong	2	fong	fong2	fɔŋ²¹			
妨	妨	f	ong	2	fong	fong2	fɔŋ²¹			
肪	肪	f	ong	1h	fong	fong1h	fɔŋ⁵⁵			
房	房	f	ong	2	fong	fong2	fɔŋ²¹			
仿	仿	f	ong	3	fong	fong3	fɔŋ¹¹	相似。		
倣	仿	f	ong	3	fong	fong3	fɔŋ¹¹	倣效。		
紡	纺	f	ong	3	fong	fong3	fɔŋ¹¹			
訪	访	f	ong	6	fong	fong6	fɔŋ³²			
放	放	f	ong	5	fong	fong5	fɔŋ²⁴			
妃	妃	f	ai	1	fai	fai1	fɐi³⁵			
妃	妃	f	ai	1h	fai	fai1h	fɐi⁵⁵			
非	非	f	ai	1	fai	fai1	fɐi³⁵			
非	非	f	ai	1h	fai	fai1h	fɐi⁵⁵			
飛	飞	f	ai	1	fai	fai1	fɐi³⁵			
飛	飞	f	ai	1h	fai	fai1h	fɐi⁵⁵			
肥	肥	f	ai	2	fai	fai2	fɐi²¹			
匪	匪	f	ai	3	fai	fai3	fɐi¹¹			
榧	榧	f	ai	3	fai	fai3	fɐi¹¹			
翡	翡	f	ai	5	fai	fai5	fɐi²⁴			
吠	吠	f	ai	5	fai	fai5	fɐi²⁴			
肺	肺	f	ai	5	fai	fai5	fɐi²⁴			
疿	疿	f	ai	6	fai	fai6	fɐi³²	疿子。		
費	费	f	ai	5	fai	fai5	fɐi²⁴			
分	分	f	ang	1	fang	fang1	fɐŋ³⁵	~开。		
分	分	f	ang	1h	fang	fang1h	fɐŋ⁵⁵	~开。		
分	分	f	ang	6	fang	fang6	fɐŋ³²	成~。		
份	份	f	ang	6	fang	fang6	fɐŋ³²			
芬	芬	f	ang	1h	fang	fang1h	fɐŋ⁵⁵			
紛	纷	f	ang	1h	fang	fang1h	fɐŋ⁵⁵			
焚	焚	f	ang	2	fang	fang2	fɐŋ²¹			
豶	豮	f	ang	2	fang	fang2	fɐŋ²¹	牡豕。		
粉	粉	f	ang	3	fang	fang3	fɐŋ¹¹			
忿	忿	f	ang	3	fang	fang3	fɐŋ¹¹			
墳	坟	f	ang	2	fang	fang2	fɐŋ²¹			
憤	愤	f	ang	3	fang	fang3	fɐŋ¹¹			
奮	奋	f	ang	3	fang	fang3	fɐŋ¹¹			
糞	粪	f	ang	5	fang	fang5	fɐŋ²⁴			
封	封	f	ung	1	fung	fung1	fʊŋ³⁵			
封	封	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
風	风	f	ung	6	fung	fung6	fʊŋ³²			
風	风	f	ung	1	fung	fung1	fʊŋ³⁵			
風	风	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
峯	峯	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
峰	峰	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
楓	枫	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
蜂	蜂	f	ung	1	fung	fung1	fʊŋ³⁵			
蜂	蜂	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
瘋	疯	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
鋒	锋	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
豐	丰	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
丰	丰	f	ung	1h	fung	fung1h	fʊŋ⁵⁵			
逢	逢	f	ung	2	fung	fung2	fʊŋ²¹			
馮	冯	f	ung	2	fung	fung2	fʊŋ²¹			
縫	缝	f	ung	2	fung	fung2	fʊŋ²¹	~衣服。		
縫	缝	f	ung	6	fung	fung6	fʊŋ³²	一条~。		
諷	讽	f	ung	6	fung	fung6	fʊŋ³²			
奉	奉	f	ung	3	fung	fung3	fʊŋ¹¹			
俸	俸	f	ung	6	fung	fung6	fʊŋ³²			
鳳	凤	f	ung	6	fung	fung6	fʊŋ³²			
佛	佛	f	aq	8	faq	faq8	fɐʔ²¹¹			
否	否	f	au	3	fau	fau3	fɐu¹¹			
夫	夫	f	u	1	fu	fu1	fu³⁵			
肤	肤	f	u	1	fu	fu1	fu³⁵			
趺	趺	f	u	1	fu	fu1	fu³⁵	脚面。		
跗	跗	f	u	1	fu	fu1	fu³⁵	脚面。		
孵	孵	f	u	1h	fu	fu1h	fu⁵⁵			
麩	麸	f	u	1	fu	fu1	fu³⁵			
敷	敷	f	u	1h	fu	fu1h	fu⁵⁵			
膚	肤	f	u	1	fu	fu1	fu³⁵			
伏	伏	f	uq	8	fuq	fuq8	fʊʔ²¹¹			
扶	扶	f	u	2	fu	fu2	fu²¹			
芙	芙	f	u	2	fu	fu2	fu²¹			
彿	佛	f	aq	7	faq	faq7	fɐʔ⁵⁵	仿~。		
服	服	f	uq	8	fuq	fuq8	fʊʔ²¹¹			
俘	俘	f	u	1h	fu	fu1h	fu⁵⁵			
栿	栿	f	uq	8	fuq	fuq8	fʊʔ²¹¹	梁。		
浮	浮	f	au	2	fau	fau2	fɐu²¹			
符	符	f	u	2	fu	fu2	fu²¹			
幅	幅	f	uq	7	fuq	fuq7	fʊʔ⁵⁵			
福	福	f	uk	7	fuk	fuk7	fʊk⁵⁵			
蝠	蝠	f	uq	7	fuq	fuq7	fʊʔ⁵⁵			
甫	甫	p	ou	3	pou	pou3	pʰou¹¹			
斧	斧	f	u	3	fu	fu3	fu¹¹	文读。		
斧	斧	p	ou	3	pou	pou3	pʰou¹¹	白读。		
俯	俯	f	u	3	fu	fu3	fu¹¹			
釜	釜	f	u	6	fu	fu6	fu³²			
腑	腑	f	u	3	fu	fu3	fu¹¹			
輔	辅	f	u	6	fu	fu6	fu³²			
腐	腐	f	u	6	fu	fu6	fu³²			
撫	抚	f	u	3	fu	fu3	fu¹¹			
父	父	f	u	6	fu	fu6	fu³²			
付	付	f	u	6	fu	fu6	fu³²			
附	附	f	u	6	fu	fu6	fu³²			
阜	阜	f	au	6	fau	fau6	fɐu³²			
赴	赴	f	u	6	fu	fu6	fu³²			
負	负	f	u	3	fu	fu3	fu¹¹			
訃	讣	f	u	6	fu	fu6	fu³²			
副	副	f	u	6	fu	fu6	fu³²			
婦	妇	f	u	3	fu	fu3	fu¹¹			
傅	傅	f	u	1h	fu	fu1h	fu⁵⁵			
復	复	f	uq	8	fuq	fuq8	fʊʔ²¹¹			
富	富	f	u	6	fu	fu6	fu³²			
腹	腹	f	uq	7	fuq	fuq7	fʊʔ⁵⁵			
複	复	f	uq	7	fuq	fuq7	fʊʔ⁵⁵			
賦	赋	f	u	6	fu	fu6	fu³²			
縛	缚	b	oq	8	boq	boq8	pɔʔ²¹¹			
覆	覆	f	uq	7	fuq	fuq7	fʊʔ⁵⁵			
尬	尬	g	aai	5	gaai	gaai5	kai²⁴			
該	该	g	ui	1	gui	gui1	kui³⁵			
該	该	g	ui	1h	gui	gui1h	kui⁵⁵			
改	改	g	ui	3	gui	gui3	kui¹¹			
丐	丐	k	ui	5	kui	kui5	kʰui²⁴			
溉	溉	k	ui	5	kui	kui5	kʰui²⁴			
蓋	盖	g	ui	5	gui	gui5	kui²⁴			
