ID	汉字	注释	拼音	声母	韵母	声调
1	多		to1	t	o	1
2	他		tha1	th	a	1
3	舵		tua6	t	ua	6
4	舵		tai6	t	ai	6
5	大		tai6	t	ai	6
6	大		tua7	t	ua	7
7	大	大家官，公婆	ta1	t	a	1
8	大	同“太”	thai3	th	ai	3
9	拖		thua1	th	ua	1
10	駝		thoh8	th	oh	8
11	陀		tho5	th	o	5
12	馱		tho5	th	o	5
13	挪		no5	n	o	5
14	羅		lo5	l	o	5
15	鑼		lo5	l	o	5
16	籮	文读	lo5	l	o	5
17	籮	白读	lua5	l	ua	5
18	左		tso2	ts	o	2
19	佐		tso2	ts	o	2
20	做		tso3	ts	o	3
21	搓		so1	s	o	1
22	搓		tsho1	tsh	o	1
23	娑		so1	s	o	1
24	歌	文读	ko1	k	o	1
25	歌	白读	kua1	k	ua	1
26	哥		ko1	k	o	1
27	個		kai5	k	ai	5
28	個	个人	ko3	k	o	3
29	個	个月	kou3	k	ou	3
30	軻		kho1	kh	o	1
31	可		kho2	kh	o	2
32	蛾		go5	g	o	5
33	鵝		go5	g	o	5
34	俄		ngo5	ng	o	5
35	我	白读	ua2		ua	2
36	我	文读	ngo2	ng	o	2
37	餓		go7	g	o	7
38	何	文读	ho5	h	o	5
39	何	与“几”字合音成kua2，白读	ua5		ua	5
40	河		ho5	h	o	5
41	荷		ho5	h	o	5
42	荷	薄荷	ho3	h	o	3
43	荷	电荷	ho6	h	o	6
44	苛		kho1	kh	o	1
48	賀		ho7	h	o	7
49	阿		a1		a	1
50	阿		o1		o	1
51	茄		kio5	k	io	5
52	茄	雪茄	kia1	k	ia	1
53	波		po1	p	o	1
54	跛		pho2	ph	o	2
55	簸		pfua3	pf	ua	3
56	播		pfua3	pf	ua	3
58	頗		pho2	ph	o	2
59	頗		pfhua2	pfh	ua	2
60	坡		po1	p	o	1
61	玻		po1	p	o	1
64	婆	白读	pfhua5	pfh	ua	5
65	婆	文读	po5	p	o	5
66	婆	文读，婆娑	pho5	ph	o	5
67	魔		mo5	m	o	5
68	磨		bvua5	bv	ua	5
69	磨	石磨	mo7	m	o	7
	磨	石磨	bo7	b	o	7
70	摩		mo5	m	o	5
73	朵	锯朵仔	to5	t	o	5
	朵	一朵	to6	t	o	6
74	躲		to5	t	o	5
75	剁	训读，本字为“斲(斫)”	tok4	t	ok	4
76	剁		to3	t	o	3
77	妥		tho2	th	o	2
78	唾		tho2	th	o	2
79	惰	白读	tuann6	t	uann	6
80	惰	文读	to6	t	o	6
81	墮		tui6	t	ui	6
82	囉		lo1	l	o	1
83	囉		lo5	l	o	5
84	糯		no3	n	o	3
85	糯	训读，本字为“秫”	tsuk8	ts	uk	8
86	騾		lo5	l	o	5
87	螺		lo5	l	o	5
88	螺	白读，am2-lou1-thang5，蜗牛	lou1	l	ou	1
89	腡		lo5	l	o	5
90	裸	白读	lua2	l	ua	2
91	裸	井都音，白读	nua2	n	ua	2
	裸	文读	lo2	l	o	2
92	摞		lo3	l	o	3
93	銼		tsho3	tsh	o	3
94	矬		tsho5	tsh	o	5
95	坐		tso6	ts	o	6
97	座		tso7	ts	o	7
98	蓑	棕蓑	sui1	s	ui	1
99	蓑	文读	so1	s	o	1
100	梭		so1	s	o	1
101	唆		so1	s	o	1
102	鎖		so2	s	o	2
103	瑣		so2	s	o	2
104	鍋		ue1		ue	1
105	過		kue3	k	ue	3
106	戈		kho1	kh	o	1
107	果		kuenn2	k	uenn	2
108	果		kuann2	k	uann	2
109	裹		ko2	k	o	2
110	裹		kue2	k	ue	2
112	科		khue1	kh	ue	1
113	棵		kho2	kh	o	2
114	窠	文读	kho1	kh	o	1
115	窠	白读	khue1	kh	ue	1
116	顆		khonn2	kh	onn	2
117	課		khue3	kh	ue	3
118	訛		ngo5	ng	o	5
119	臥		o6		o	6
120	火		hue2	h	ue	2
121	夥		hue2	h	ue	2
122	貨		hue3	h	ue	3
123	禾	训读	ta5	t	a	5
124	訃	訃告	pok4	p	ok	4
125	和	白读	hua5	h	ua	5
126	和	和尚	hue5	h	ue	5
127	和	“和尚”文读	ho5	h	o	5
128	和	搅和	hua6	h	ua	6
129	禍		hua6	h	ua	6
134	倭		o1		o	1
135	窩		o1		o	1
136	涴		u3		u	3
137	涴		ue3		ue	3
138	瘸		khue5	kh	ue	5
139	靴		hia1	h	ia	1
140	巴		pa1	p	a	1
141	疤		pa1	p	a	1
142	芭		pha1	ph	a	1
143	把		pa2	p	a	2
144	把		pe2	p	e	2
145	把	一把嘴	pe3	p	e	3
146	爸		pa1	p	a	1
147	爸		pe6	p	e	6
148	欛		pa3	p	a	3
149	壩		pa3	p	a	3
150	垻		pa3	p	a	3
151	霸		pa3	p	a	3
152	怕		pha3	ph	a	3
153	琶		pe5	p	e	5
154	爬		pe5	p	e	5
155	爬		peh4	p	eh	4
156	爬		pa1	p	a	1
157	爬		pa5	p	a	5
158	麻	白读	mua5	m	ua	5
159	麻	文读	ma5	m	a	5
160	蟆		mo5	m	o	5
161	蟆	俗读	po5	p	o	5
162	媽		ma5	m	a	5
163	媽		ma2	m	a	2
164	馬		be2	b	e	2
165	馬		ma2	m	a	2
166	碼		be2	b	e	2
167	罵		me7	m	e	7
168	拿		na2	n	a	2
169	拿	用、使用	la2	l	a	2
170	詫		theh8	th	eh	8
171	茶		te5	t	e	5
172	查		tshe5	tsh	e	5
173	查		tsa1	ts	a	1
174	渣		tsa1	ts	a	1
175	詐		tsa3	ts	a	3
176	詐	替字	tenn3	t	enn	3
177	榨		tsa3	ts	a	3
178	炸		tsa3	ts	a	3
179	叉	白读	tshe1	tsh	e	1
180	叉	文读	tsha1	tsh	a	1
181	杈		tshe1	tsh	e	1
182	差		tsha1	tsh	a	1
183	差		tshe1	tsh	e	1
184	差	参差	tshi1	tsh	i	1
185	岔	文读	tsha1	tsh	a	1
186	岔	白读	tshe1	tsh	e	1
187	汊		tshe1	tsh	e	1
190	乍		tsa3	ts	a	3
191	沙	白读	sua1	s	ua	1
192	沙	沙发，老派音	so1	s	o	1
193	沙	文读	sa1	s	a	1
	沙	沙参玉竹，文读	sann1	s	ann	1
	沙	沙陇，潮阳地名，白读	suann1	s	uann	1
194	紗	白读	se1	s	e	1
195	紗	文读	sa1	s	a	1
196	灑		sai3	s	ai	3
	灑	潇洒	sa3	s	a	3
197	嘉		kia1	k	ia	1
198	家	白读	ke1	k	e	1
199	家	家己，替字	ka1	k	a	1
200	家	私家，替字	khia1	kh	ia	1
201	家	哀家、奴家，老派文读	kia1	k	ia	1
202	傢		ke1	k	e	1
203	加	文读	kia1	k	ia	1
204	加	多，白读	ke1	k	e	1
205	假	白读	ke2	k	e	2
206	假	白读	ke3	k	e	3
207	假	文读	kia2	k	ia	2
208	假	文读	kia3	k	ia	3
209	假	放假，新派音	kiah8	k	iah	8
210	賈	姓	kia2	k	ia	2
211	賈	商贾	ku2	k	u	2
212	稼	白读	ke3	k	e	3
213	稼	文读	kia3	k	ia	3
219	價	白读	ke3	k	e	3
220	價	价值，老派文读	kia3	k	ia	3
221	架	白读	ke3	k	e	3
222	架	老派文读	kia3	k	ia	3
223	駕	白读	ke3	k	e	3
224	駕	文读	kia3	k	ia	3
225	嫁	嫁妆，白读	ke3	k	e	3
226	嫁	嫁祸，文读	kia3	k	ia	3
227	牙	白读	ge5	g	e	5
228	牙	姜子牙，文读	gia5	g	ia	5
229	芽		ge5	g	e	5
230	衙		ge5	g	e	5
231	雅		ngia2	ng	ia	2
232	訝		gia5	g	ia	5
233	迓		gia5	g	ia	5
234	蝦		he5	h	e	5
235	嚇		heh4	h	eh	4
236	嚇	民间俗写，本字为“下”	he6	h	e	6
237	霞	文读	hia5	h	ia	5
238	霞	云霞，白读	he5	h	e	5
239	遐		hia5	h	ia	5
240	瑕		hia5	h	ia	5
242	下	文读	hia6	h	ia	6
243	下	种下、伸入，白读	he6	h	e	6
244	下	下伯公	he7	h	e	7
245	下	低	ke6	k	e	6
246	下	低	e6		e	6
247	下	一下	e7		e	7
248	夏	白读	he7	h	e	7
249	夏	夏朝，文读	hia7	h	ia	7
250	廈	白读	he7	h	e	7
251	廈	文读	hia7	h	ia	7
258	暇		hia3	h	ia	3
261	丫		ia1		ia	1
262	鴉		a1		a	1
263	鴉	鸦片	ann1		ann	1
264	啞		e2		e	2
265	亞		a1		a	1
266	亞		a3		a	3
267	嗟		tsia1	ts	ia	1
268	姐	文读	tse2	ts	e	2
269	姐	俗写作“姊”	tsi2	ts	i	2
270	姐	小姐，文读	tsia2	ts	ia	2
271	借		tsioh4	ts	ioh	4
272	借	借口	tsia6	ts	ia	6
273	且		tshiann2	tsh	iann	2
274	藉		tsia6	ts	ia	6
275	褯		tsia6	ts	ia	6
276	些		se1	s	e	1
277	寫		sia2	s	ia	2
278	瀉		sia3	s	ia	3
279	卸		sia3	s	ia	3
280	邪		sia5	s	ia	5
281	邪		ia5		ia	5
282	斜		sia1	s	ia	1
283	斜		sia5	s	ia	5
284	謝		sia7	s	ia	7
285	謝	姓	tsia7	ts	ia	7
286	爹		tia1	t	ia	1
287	遮		tsia1	ts	ia	1
288	者		tsia2	ts	ia	2
289	蔗		tsia3	ts	ia	3
290	車		tshia1	tsh	ia	1
291	車		ku1	k	u	1
292	扯		tshe2	tsh	e	2
293	蛇		tsua5	ts	ua	5
294	射		sia7	s	ia	7
295	奢		tshia1	tsh	ia	1
296	賒		tshia1	tsh	ia	1
297	捨		sia3	s	ia	3
298	捨	四舍五入	sia2	s	ia	2
299	赦		sia3	s	ia	3
300	舍		sia3	s	ia	3
	舍	四舍五入	sia2	s	ia	2
301	社		sia6	s	ia	6
302	社	社会，老派音	siau6	s	iau	6
303	惹		dzia2	dz	ia	2
304	耶		ia7		ia	7
305	耶		e7		e	7
306	耶		ia5		ia	5
307	椰		ia5		ia	5
308	爺		ia5		ia	5
309	冶		ia2		ia	2
310	也		ia7		ia	7
311	也		e7		e	7
312	也		a7		a	7
313	野		ia2		ia	2
314	夜	训读	me5	m	e	5
315	傻		sa5	s	a	5
316	傻	替字	so5	s	o	5
317	瓜	白读	kue1	k	ue	1
318	瓜	文读	kua1	k	ua	1
319	蝸		o1		o	1
320	寡		kua2	k	ua	2
321	剮		kua2	k	ua	2
322	咵		khua1	kh	ua	1
323	垮		khua1	kh	ua	1
324	跨		khua3	kh	ua	3
325	娃		ua1		ua	1
326	娃		ua5		ua	5
327	瓦	白读	hia6	h	ia	6
328	瓦	瓦刀，白读	hue7	h	ue	7
329	瓦	文读	ua6		ua	6
330	花	白读	hue1	h	ue	1
331	花	花费，文读	hua1	h	ua	1
332	化	白读	hue3	h	ue	3
333	化	文读	hua3	h	ua	3
334	化	马化腾	hua1	h	ua	1
335	華		hua1	h	ua	1
336	華		hua5	h	ua	5
337	華	地名雅化	e6		e	6
341	蛙		ua1		ua	1
342	洼		ua1		ua	1
343	補		pou2	p	ou	2
344	譜		phou2	ph	ou	2
345	布	白读	pou3	p	ou	3
346	布	公布，文读	pfu3	pf	u	3
347	佈	白读	pou3	p	ou	3
348	佈	文读	pfu3	pf	u	3
349	鋪	店铺	phou3	ph	ou	3
350	鋪	床	phou1	ph	ou	1
351	普		phou2	ph	ou	2
352	浦		phou2	ph	ou	2
355	怖	白读	pou3	p	ou	3
356	怖	文读	pfu3	pf	u	3
357	菩	菩萨，白读	pho5	ph	o	5
358	菩	菩提，文读	pfhu5	pfh	u	5
359	蒲		pfhu5	pfh	u	5
360	脯		pou2	p	ou	2
361	部		pou6	p	ou	6
362	簿		phou6	ph	ou	6
363	步		pou7	p	ou	7
364	捕		pfu6	pf	u	6
365	埠		pou1	p	ou	1
366	模		mo5	m	o	5
367	模	模糊	mou5	m	ou	5
368	模	模型	bou5	b	ou	5
369	暮		mou6	m	ou	6
370	墓		mou6	m	ou	6
371	募		mou6	m	ou	6
372	慕		mou6	m	ou	6
373	都		tou1	t	ou	1
374	都		to1	t	o	1
375	堵		tu2	t	u	2
376	賭	文读	tu2	t	u	2
377	賭	白读	tou2	t	ou	2
378	肚		tou2	t	ou	2
379	肚	猪肚	tou6	t	ou	6
380	妒		kou3	k	ou	3
381	蠹		tu3	t	u	3
382	土		thou2	th	ou	2
383	土	土粪	tou6	t	ou	6
384	吐		thou3	th	ou	3
385	兔		thou3	th	ou	3
386	途		thu5	th	u	5
387	屠	白读	tou5	t	ou	5
388	屠	文读	thu5	th	u	5
389	圖	白读	tou5	t	ou	5
390	圖	文读	thu5	th	u	5
391	徒		thu5	th	u	5
394	杜		tou6	t	ou	6
395	度	温度	tou7	t	ou	7
396	度	揣度	tak8	t	ak	8
397	渡		tou7	t	ou	7
398	渡		tou6	t	ou	6
399	鍍		tou7	t	ou	7
400	奴	白读	nou5	n	ou	5
401	奴	白读	no5	n	o	5
402	奴	文读	nu5	n	u	5
403	努		no3	n	o	3
404	怒		no3	n	o	3
405	盧	姓，白读	lou5	l	ou	5
406	盧	文读	lu5	l	u	5
407	爐		lou5	l	ou	5
408	鹵	卤汤	lou2	l	ou	2
409	鹵	腌制	lou6	l	ou	6
410	魯	文读	lu2	l	u	2
411	魯	粗鲁，老派白读	lou2	l	ou	2
412	櫓	文读	lu2	l	u	2
413	櫓	白读	lou2	l	ou	2
414	虜		lu2	l	u	2
415	露		lou3	l	ou	3
416	露		lou6	l	ou	6
417	露		lou7	l	ou	7
418	路	白读	lou7	l	ou	7
419	路	姓，文读	lu6	l	u	6
420	賂		lu6	l	u	6
421	賂		luk8	l	uk	8
422	租		tsou1	ts	ou	1
423	祖		tsou2	ts	ou	2
424	組		tsu1	ts	u	1
426	粗		tshou1	tsh	ou	1
427	醋		tshou3	tsh	ou	3
428	錯		tsho3	tsh	o	3
429	措		tsho3	tsh	o	3
430	措		tshu3	tsh	u	3
431	蘇		sou1	s	ou	1
432	蘇	苏打	so3	s	o	3
433	酥		sou1	s	ou	1
434	素	文读	su3	s	u	3
435	素	味素，味道，文读	sou3	s	ou	3
436	塑		sok4	s	ok	4
437	訴		su3	s	u	3
438	嗉		su3	s	u	3
439	辜	文读	ku1	k	u	1
440	辜	姓，白读	kou1	k	ou	1
441	孤		kou1	k	ou	1
442	箍		khou1	kh	ou	1
443	姑	白读	kou1	k	ou	1
444	姑	姑息、姑且，文读	ku1	k	u	1
445	估		kou2	k	ou	2
446	估	以为	kau1	k	au	1
447	古		kou2	k	ou	2
448	古	古帅、古埕、古溪，潮阳地名	khou2	kh	ou	2
449	看	文读	khang1	kh	ang	1
452	股		kou2	k	ou	2
453	鼓	白读	kou2	k	ou	2
454	鼓	鼓动，文读	ku2	k	u	2
455	蠱		ku2	k	u	2
456	故	文读	ku3	k	u	3
457	故	故乡，老派白读	kou3	k	ou	3
458	故	训读，本字“旧”	ku7	k	u	7
459	顧	文读	ku3	k	u	3
460	顧	姓，白读	kou3	k	ou	3
461	固		ku3	k	u	3
462	雇		kou3	k	ou	3
463	枯		kou1	k	ou	1
464	苦		khou2	kh	ou	2
