單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
阿			aa	1		ʔ	a	23	阿文
啊			aa	1		ʔ	a	23	
唉			aai	2		ʔ	ai	35	
欸			aai	2		ʔ	ai	35	
哎			aai	2		ʔ	ai	35	
霸		b	aa	1		p	a	23	
壩		b	aa	1		p	a	23	
峇		b	aa	1		p	a	23	
伯		b	aa	1		p	a	23	春秋五伯
巴		b	aa	2		p	a	35	
芭		b	aa	2		p	a	35	
笆		b	aa	2		p	a	35	
靶		b	aa	2		p	a	35	
把		b	aa	2		p	a	35	
疤		b	aa	2		p	a	35	
粑		b	aa	2		p	a	35	
爸		b	aa	5		p	a	21	
罷		b	aa	6		p	a	31	
罢		b	aa	6		p	a	31	
吧		b	aa	6		p	a	31	
拜		b	aai	1		p	ai	23	
湃		b	aai	1		p	ai	23	
襬		b	aai	2		p	ai	35	
擺		b	aai	2		p	ai	35	
摆		b	aai	2		p	ai	35	
敗		b	aai	6		p	ai	31	
败		b	aai	6		p	ai	31	
伯		b	aak	8		p	ak	31	
白		b	aak	8		p	ak	31	
帛		b	aak	8		p	ak	31	
蔔		b	aak	8		p	ak	31	
卜		b	aak	8		p	ak	31	萝卜
伯		b	aak	9		p	ak	21	阿伯
北		b	aak	7A		p	ak	35	
百		b	aak	7A		p	ak	35	百厭
百		b	aak	7B		p	ak	23	一百
伯		b	aak	7B		p	ak	23	伯爺
頒		b	aan	1		p	an	23	
班		b	aan	1		p	an	23	
斑		b	aan	1		p	an	23	
阪		b	aan	2		p	an	35	
板		b	aan	2		p	an	35	
版		b	aan	2		p	an	35	
粄		b	aan	2		p	an	35	
闆		b	aan	2		p	an	35	
扮		b	aan	6		p	an	31	
辦		b	aan	6		p	an	31	
繃		b	aang	1		p	aŋ	23	繃帶
崩		b	aang	1		p	aŋ	23	
蹦		b	aang	2		p	aŋ	35	
褒		b	aau	1		p	au	23	
報		b	aau	1		p	au	23	
煲		b	aau	1		p	au	23	
保		b	aau	2		p	au	35	
葆		b	aau	2		p	au	35	
堡		b	aau	2		p	au	35	
褓		b	aau	2		p	au	35	
寶		b	aau	2		p	au	35	
煲		b	aau	5		p	au	21	煲仔，變調
暴		b	aau	6		p	au	31	凶暴
乓		b	am	1		p	ɐm	23	
賓		b	an	1		p	ɐn	23	
濱		b	an	1		p	ɐn	23	
檳		b	an	1		p	ɐn	23	
鬢		b	an	1		p	ɐn	23	
臏		b	an	1		p	ɐn	23	
繽		b	an	1		p	ɐn	23	
彬		b	an	1		p	ɐn	23	
奔		b	an	1		p	ɐn	23	
稟		b	an	2		p	ɐn	35	
品		b	an	2		p	ɐn	35	
鬢		b	an	6		p	ɐn	31	
笨		b	an	6		p	ɐn	31	
拔		b	at	8		p	ɐt	31	
跋		b	at	8		p	ɐt	31	
畢		b	at	7A		p	ɐt	35	
筆		b	at	7A		p	ɐt	35	
不		b	at	7A		p	ɐt	35	
嗶		b	at	7A		p	ɐt	35	
卑		b	ei	1		p	ei	23	
臂		b	ei	1		p	ei	23	
