字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
蓖	pi22		p	i	22	p	1	1	1	0	蓖	pi	0	[1]蓖	pi[1]蓖
碑	pi22		p	i	22	p	1	1	1	0	碑	pi	0	[1]蓖碑	pi[1]蓖碑
卑	pi22		p	i	22	p	1	1	1	0	卑	pi	0	[1]蓖碑卑	pi[1]蓖碑卑
陂	pi22		p	i	22	p	1	1	1	1	陂	pi	0	[1]蓖碑卑陂	pi[1]蓖碑卑陂
脾	pi44		p	i	44	p	1	1	2	0	脾	pi	0	[1]蓖碑卑陂[2]脾	pi[1]蓖碑卑陂[2]脾
琵	pi44		p	i	44	p	1	1	2	0	琵	pi	0	[1]蓖碑卑陂[2]脾琵	pi[1]蓖碑卑陂[2]脾琵
枇	pi44		p	i	44	p	1	1	2	0	枇	pi	0	[1]蓖碑卑陂[2]脾琵枇	pi[1]蓖碑卑陂[2]脾琵枇
啤	pi44		p	i	44	p	1	1	2	1	啤	pi	0	[1]蓖碑卑陂[2]脾琵枇啤	pi[1]蓖碑卑陂[2]脾琵枇啤
俾	pi53		p	i	53	p	1	1	3	0	俾	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾
彼	pi53		p	i	53	p	1	1	3	0	彼	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼
比	pi53		p	i	53	p	1	1	3	0	比	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比
畀	pi53		p	i	53	p	1	1	3	1	畀	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀
被	pi13		p	i	13	p	1	1	4	0	被	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被
幣	pi13		p	i	13	p	1	1	4	0	幣	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣
備	pi13		p	i	13	p	1	1	4	0	備	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備
憊	pi13		p	i	13	p	1	1	4	0	憊	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊
婢	pi13		p	i	13	p	1	1	4	1	婢	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢
背	pi21	提重物	p	i	21	p	1	1	5	0	背{提重物}	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}
臂	pi21		p	i	21	p	1	1	5	0	臂	pi	0	[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂	pi[1]蓖碑卑陂[2]脾琵枇啤[3]俾彼比畀[4]被幣備憊婢[5]背{提重物}臂
