正體	简体	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	泰如拼音（丰利）	泰如拼音带调（丰利）	备注
啊	啊	ɑ	˨˩	ɑ˨˩	21	1	a	a1	应答
啊	啊	ɑ	˨˦	ɑ˨˦	24	2	a	a2	表疑惑
唉	唉	ɛ	˨˩	ɛ˨˩	21	1	ae	ae1	
阿	阿	aʔ	˦˥	aʔ˦˥	45	7	ah	ah7	～姨
吧	吧	pɑ		pɑ	0	0	ba	ba0	
巴	巴	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
吧	吧	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
叭	叭	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
扒	扒	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
疤	疤	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
芭	芭	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
笆	笆	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
粑	粑	pɑ	˨˩	pɑ˨˩	21	1	ba	ba1	
靶	靶	pɑ	˧˨˨	pɑ˧˨˨	322	3	ba	ba3	
把	把	pɑ	˧˨˨	pɑ˧˨˨	322	3	ba	ba3	
㞎	㞎	pɑ	˧˨˨	pɑ˧˨˨	322	3	ba	ba3	
爸	爸	pɑ	˦˥	pɑ˦˥	45	5	ba	ba5	
霸	霸	pɑ	˦˥	pɑ˦˥	45	5	ba	ba5	
壩	坝	pɑ	˦˥	pɑ˦˥	45	5	ba	ba5	
欛	把	pɑ	˦˥	pɑ˦˥	45	5	ba	ba5	
唄	呗	pɛ		pɛ	0	0	bae	bae0	
擺	摆	pɛ	˧˨˨	pɛ˧˨˨	322	3	bae	bae3	
拜	拜	pɛ	˦˥	pɛ˦˥	45	5	bae	bae5	
甭	甭	pɛ	˦˥	pɛ˦˥	45	5	bae	bae5	
八	八	pʲɛʔ	˦˥	pʲɛʔ˦˥	45	7	baeh	baeh7	
捌	捌	pʲɛʔ	˦˥	pʲɛʔ˦˥	45	7	baeh	baeh7	
般	般	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	文讀，～配
班	班	pʲɛ̃	˨˩	pʲɛ̃˨˩	21	1	baen	baen1	
