siᶽmp	trad	detail	调类
费	費	消～	fiᶽ5
费	費	姓	viᶽ6
屝	屝		viᶽ6
翡	翡		fiᶽ5
废	廢		fiᶽ5
肺	肺		fiᶽ5
吠	吠		fiᶽ5
沸	沸	～騰	fiᶽ5
芾	芾	《詩·召南》蔽芾甘棠	fiᶽ5
维	維		viᶽ2
惟	惟		viᶽ2
唯	唯		viᶽ2
腓	腓		viᶽ2
淝	淝		viᶽ2
肥	肥	（文）	viᶽ2
微	微		viᶽ2
薇	薇	（白）薔～花	biᶽ2
薇	薇	（文）	viᶽ2
未	未		viᶽ6
味	味	（文）～之素：味精	viᶽ6
低	低		tiᶽ1
底	底		tiᶽ3
邸	邸		tiᶽ3
抵	抵	～抗	tiᶽ3
抵	牴	～觸	tiᶽ3
抵	觝	～觸	tiᶽ3
砥	砥	中流～柱	tiᶽ3
帝	帝		tiᶽ5
蒂	蒂		tiᶽ5
梯	梯		tʰiᶽ1
涕	涕	鼻～	tʰiᶽ1
屉	屉		tʰiᶽ5
屉	屜		tʰiᶽ5
笹	笹	同屜	tʰiᶽ5
体	體		tʰiᶽ3
体	体	俗體字	tʰiᶽ3
躰	躰	俗體字	tʰiᶽ3
軆	軆	俗體字	tʰiᶽ3
骵	骵	俗體字	tʰiᶽ3
剃	剃	～頭	tʰiᶽ5
剃	薙	～頭	tʰiᶽ5
鬄	鬄		tʰiᶽ5
剃	鬀	～頭	tʰiᶽ5
替	替		tʰiᶽ5
达	达	达，滑也	tʰiᶽ5
堤	堤		diᶽ2
题	題		diᶽ2
提	提		diᶽ2
醍	醍	～醐	diᶽ2
鹈	鵜	～鶘	diᶽ2
蹄	蹄		diᶽ2
蹄	蹏		diᶽ2
啼	啼		diᶽ2
啼	嗁		diᶽ2
娣	娣		diᶽ6
睇	睇		diᶽ6
弟	弟		diᶽ6
第	第		diᶽ6
递	遞		diᶽ6
隶	隸		diᶽ6
隶	隷		diᶽ6
棣	棣		diᶽ6
地	地		diᶽ6
驴	驢		liᶽ2
犁	犁		liᶽ2
犁	犂		liᶽ2
黎	黎		liᶽ2
黎	㴝		liᶽ2
鹂	鸝		liᶽ2
离	離		liᶽ2
漓	漓	淋～	liᶽ2
漓	灕	～江（廣西水名）	liᶽ2
篱	籬		liᶽ2
璃	璃		liᶽ2
璃	瓈		liᶽ2
梨	梨		liᶽ2
梨	棃		liᶽ2
厘	厘	俗作釐省	liᶽ2
厘	釐		liᶽ2
嫠	嫠		liᶽ2
狸	狸		liᶽ2
狸	貍		liᶽ2
罹	罹		liᶽ2
蠡	蠡		liᶽ2
蠡	蠡		liᶽ3
吕	呂		liᶽ3
吕	吕		liᶽ3
旅	旅		liᶽ3
缕	縷		liᶽ3
屡	屢		liᶽ3
礼	禮		liᶽ3
李	李		liᶽ3
里	里	公～	liᶽ3
里	裏	～向：裏面	liᶽ3
里	裡	俗裏字	liᶽ3
哩	哩		liᶽ3
理	理		liᶽ3
俚	俚		liᶽ3
娌	娌	妯～	liᶽ3
鲤	鯉		liᶽ3
锂	鋰		liᶽ3
鳢	鱧		liᶽ3
醴	醴		liᶽ3
澧	澧		liᶽ3
滤	濾		liᶽ6
虑	慮		liᶽ6
例	例		liᶽ6
厉	厲		liᶽ6
励	勵		liᶽ6
戾	戾		liᶽ6
盭	盭		liᶽ6
丽	麗		liᶽ6
俪	儷		liᶽ6
骊	驪		liᶽ2
郦	酈		liᶽ6
莅	莅		liᶽ6
莅	蒞		liᶽ6
涖	涖		liᶽ6
履	履		liᶽ6
利	利		liᶽ6
莉	莉		liᶽ6
詈	詈		liᶽ6
俐	俐	伶～	liᶽ6
蜊	蜊	蛤～	liᶽ6
痢	痢		liᶽ6
吏	吏		liᶽ6
泪	淚		liᶽ6
狙	狙		tsiᶽ1
苴	苴		tsiᶽ1
齑	齏	腌～：靑菜、雪菜剁碎後清炒的一種小菜	tsiᶽ1
赍	齎		tsiᶽ1
赍	賫	俗齎字	tsiᶽ1
荠	薺	荸～	dziᶽ2
龃	齟		dziᶽ2
挤	擠		tsiᶽ3
咀	咀		tsiᶽ3
沮	沮		tsiᶽ3
祭	祭		tsiᶽ5
际	際		tsiᶽ5
济	濟		tsiᶽ5
剂	劑		tsiᶽ5
霁	霽		tsiᶽ5
霁	䨖	同霽	tsiᶽ5
醉	醉	又	tsiᶽ5
左	左	～手	tsiᶽ5
蛆	蛆		tsʰiᶽ1
趋	趨		tsʰiᶽ1
妻	妻		tsʰiᶽ1
凄	淒		tsʰiᶽ1
栖	棲		tsʰiᶽ1
栖	栖		tsʰiᶽ1
取	取		tsʰiᶽ3
娶	娶		tsʰiᶽ3
趣	趣		tsʰiᶽ5
狙	狙		tsʰiᶽ5
觑	覷		tsʰiᶽ5
觑	覰		tsʰiᶽ5
觑	覻		tsʰiᶽ5
觑	䁦		tsʰiᶽ5
蜡	蜡	骨肉腐臭，蠅蟲所蜡也	tsʰiᶽ5
砌	砌		tsʰiᶽ5
齐	齊	又	dziᶽ2
脐	臍	肚～眼	dziᶽ2
絮	絮		siᶽ1
须	須	必～	siᶽ1
须	鬚	鬍～	səɯ1
需	需		siᶽ1
西	西		siᶽ1
犀	犀		siᶽ1
婿	婿		siᶽ5
胥	胥		siᶽ1
髓	髓		siᶽ1
洗	洗		siᶽ3
玺	璽		siᶽ3
徙	徙		siᶽ3
细	細		siᶽ5
徐	徐		ziᶽ2
齐	齊	又	ziᶽ2
屿	嶼		ziᶽ6
序	序		ziᶽ6
叙	叙		ziᶽ6
叙	敘		ziᶽ6
叙	敍		ziᶽ6
绪	緒		ziᶽ6
聚	聚		ziᶽ6
姬	姬		tɕiᶽ1
乩	乩		tɕiᶽ1
鸡	鷄		tɕiᶽ1
鸡	雞		tɕiᶽ1
鸡	鳮	雞俗字	tɕiᶽ1
稽	稽		tɕiᶽ1
玑	璣		tɕiᶽ1
饥	飢	～餓	tɕiᶽ1
饥	饑	～饉	tɕiᶽ1
肌	肌		tɕiᶽ1
几	几	茶～	tɕiᶽ1
麂	麂	～皮	tɕiᶽ1
基	基		tɕiᶽ1
几	幾	～乎	tɕiᶽ1
机	機		tɕiᶽ1
机	机	同几	tɕiᶽ1
羁	羈		tɕiᶽ1
羁	羇		tɕiᶽ1
讥	譏		tɕiᶽ1
矶	磯		tɕiᶽ1
箕	箕		tɕiᶽ1
奇	奇		tɕiᶽ1
嵇	嵇		tɕiᶽ1
笄	笄		tɕiᶽ1
畸	畸		tɕiᶽ1
几	幾	老～	tɕiᶽ3
计	計		tɕiᶽ5
继	繼		tɕiᶽ5
冀	冀		tɕiᶽ5
记	記		tɕiᶽ5
纪	紀		tɕiᶽ5
寄	寄		tɕiᶽ5
既	既		tɕiᶽ5
既	旣		tɕiᶽ5
暨	暨	～陽（江陰古稱）	tɕiᶽ5
暨	曁	～陽（江陰古稱）	tɕiᶽ5
彑	彑		tɕiᶽ5
彐	彐		tɕiᶽ5
罽	罽		tɕiᶽ5
蓟	薊		tɕiᶽ5
觊	覬		tɕiᶽ5
季	季		tɕiᶽ5
悸	悸		tɕiᶽ5
溪	溪	小～	tɕʰiᶽ1
溪	谿	玉～生（李商隱），慈～（浙江地名）	tɕʰiᶽ1
嵠	嵠		tɕʰiᶽ1
欺	欺		tɕʰiᶽ1
岂	豈		tɕʰiᶽ1
启	啓		tɕʰiᶽ3
启	啟		tɕʰiᶽ3
起	起		tɕʰiᶽ3
杞	杞		tɕʰiᶽ3
企	企		tɕʰiᶽ3
憩	憩		tɕʰiᶽ5
契	契		tɕʰiᶽ5
器	器		tɕʰiᶽ5
弃	棄		tɕʰiᶽ5
弃	弃	古文棄字	tɕʰiᶽ5
气	气	古文氣字	tɕʰiᶽ5
气	氣		tɕʰiᶽ5
炁	炁	同氣	tɕʰiᶽ5
汽	汽		tɕʰiᶽ5
祇	祇	神～	dʑiᶽ2
畿	畿		dʑiᶽ2
奇	奇		dʑiᶽ2
骑	騎		dʑiᶽ2
岐	岐		dʑiᶽ2
歧	歧		dʑiᶽ2
祁	祁		dʑiᶽ2
鳍	鰭		dʑiᶽ2
俟	俟	万～，複姓	dʑiᶽ2
其	其		dʑiᶽ2
碁	碁		dʑiᶽ2
棋	棊		dʑiᶽ2
綦	綦		dʑiᶽ2
崎	崎		dʑiᶽ2
淇	淇		dʑiᶽ2
琪	琪		dʑiᶽ2
祺	祺		dʑiᶽ2
埼	埼		dʑiᶽ2
琦	琦		dʑiᶽ2
棋	棋		dʑiᶽ2
期	期		dʑiᶽ2
期	朞		dʑiᶽ2
期	稘	朞本字。周年爲稘。	dʑiᶽ2
旗	旗		dʑiᶽ2
麒	麒		dʑiᶽ2
祈	祈		dʑiᶽ2
绮	綺		tɕʰiᶽ3
骑	騎		dʑiᶽ6
妓	妓		dʑiᶽ6
伎	伎		dʑiᶽ6
技	技		dʑiᶽ6
忌	忌		dʑiᶽ6
泥	泥		ȵiᶽ2
霓	霓		ȵiᶽ2
倪	倪		ȵiᶽ2
宜	宜	便～	ȵiᶽ2
宜	宜	適～	ɦiᶽ2
尼	尼		ȵiᶽ2
呢	呢	～子大衣	ȵiᶽ2
疑	疑		ȵiᶽ2
拟	擬		ȵiᶽ2
沂	沂	臨～	ȵiᶽ2
旎	旎		ȵiᶽ3
你	你	第二人稱	ȵiᶽ3
你	妳	用於女性的第二人稱	ȵiᶽ3
你	祢	用於神的第二人稱	ȵiᶽ3
你	伱	同你	ȵiᶽ3
你	儞	同你	ȵiᶽ3
艺	藝		ȵiᶽ6
谊	誼		ȵiᶽ6
睨	睨		ȵiᶽ6
腻	膩		ȵiᶽ6
二	二		ȵiᶽ6
贰	貳		ȵiᶽ6
羲	羲		ɕiᶽ1
曦	曦		ɕiᶽ1
牺	犧		ɕiᶽ1
熙	熙		ɕiᶽ1
熙	煕		ɕiᶽ1
熙	熈	俗熙字	ɕiᶽ1
希	希		ɕiᶽ1
醯	醯		ɕiᶽ1
稀	稀		ɕiᶽ1
嬉	嬉		ɕiᶽ1
喜	喜		ɕiᶽ3
憙	憙	省作喜，亦書作憘	ɕiᶽ3
憘	憘	古文喜字	ɕiᶽ3
禧	禧		ɕiᶽ1
囍	囍		ɕiᶽ3
嘻	嘻		ɕiᶽ1
熹	熹		ɕiᶽ1
熺	熺		ɕiᶽ1
暿	暿		ɕiᶽ1
系	系	（新文讀）～統	ɕiᶽ5
系	係	（新文讀）關～	ɕiᶽ5
屃	屓	同屭省	ɕiᶽ5
屃	屭		ɕiᶽ5
戏	戲		ɕiᶽ5
戏	戱		ɕiᶽ5
戏	戯		ɕiᶽ5
颐	頤		ɦiᶽ2
奚	奚		ɦiᶽ2
蹊	蹊		ɦiᶽ2
徯	徯		ɦiᶽ2
携	携	俗攜字	ɦiᶽ2
携	攜	～帶	ɦiᶽ2
携	擕	俗攜字	ɦiᶽ2
携	㩗	俗攜字	ɦiᶽ2
携	㩦	俗攜字	ɦiᶽ2
畦	畦		ɦiᶽ2
移	移		ɦiᶽ2
夷	夷		ɦiᶽ2
姨	姨		ɦiᶽ2
胰	胰		ɦiᶽ2
遗	遺		ɦiᶽ2
仪	儀		ɦiᶽ2
眙	眙	盱～（地名）	ɦiᶽ2
贻	貽		ɦiᶽ2
饴	飴		ɦiᶽ2
怡	怡		ɦiᶽ2
台	台	《史記》唐堯遜位，虞舜不台。	ɦiᶽ2
兮	兮		ɦiᶽ2
匸	匸		ɦiᶽ6
系	系	院～，～統	ɦiᶽ6
系	繫	聯～	ɦiᶽ6
系	係	關～	ɦiᶽ6
系	係	應答聲，相當於“是的”	ɦʰei6
禊	禊		ɦiᶽ6
蚁	蟻		ɦiᶽ6
义	義		ɦiᶽ6
议	議		ɦiᶽ6
羿	羿		ȵiᶽ6
毅	毅		ȵiᶽ6
裔	裔		ɦiᶽ6
泄	泄		ɦiᶽ6
曳	曳		ɦiᶽ6
易	易	容～	ɦiᶽ6
肄	肄		ɦiᶽ6
异	異		ɦiᶽ6
异	异	同異	ɦiᶽ6
懿	懿		ɦiᶽ6
亿	億		ɦiᶽ6
忆	憶	記～	ɦiɪʔ8
刈	刈	磨～落著：磨损了	ɦiᶽ6
乂	乂		ɦiᶽ6
医	醫		iᶽ1
祎	禕		iᶽ1
伊	伊		iᶽ1
陭	陭		iᶽ1
漪	漪		iᶽ1
衣	衣		iᶽ1
依	依		iᶽ1
椅	椅		iᶽ3
倚	倚		iᶽ3
旖	旖		iᶽ3
以	以		iᶽ3
以	㠯	古文以字	iᶽ3
已	已		iᶽ3
矣	矣		iᶽ3
佁	佁		iᶽ3
意	意		iᶽ5
波	波		pu1
菠	菠		pu1
簸	簸		pu1
播	播		pu1
玻	玻		pu1
补	補		pu3
布	布		pu5
布	佈	～置	pu5
怖	怖		pu5
颇	頗	景～	pʰu1
坡	坡		pʰu1
铺	鋪	～床	pʰu1
潽	潽	液體從容器裏溢出	pʰu1
谱	譜		pʰu3
叵	叵		pʰu3
圃	圃		pʰu3
普	普		pʰu3
溥	溥		pʰu3
浦	浦		pʰu3
埔	埔		pʰu3
脯	脯		pʰu3
剖	剖		pʰu3
破	破		pʰu5
铺	鋪	店～	pʰu5
铺	舖	店～	pʰu5
婆	婆		bu2
鄱	鄱		bu2
薄	薄	～荷	bu2
抚	撫	～一～：輕輕摸一摸	bu2
蒲	蒲		bu2
菩	菩		bu2
脯	脯	胸～	bu2
匍	匍		bu2
葡	葡		bu2
葡	葡	～萄	bəʔ8
孵	孵		bu2
部	部		bu6
簿	簿		bu6
步	步		bu6
捕	捕		bu6
埠	埠		bu6
伏	伏	～下來	bu6
孵	孵		fu1
俘	俘		fu1
夫	夫		fu1
肤	膚		fu1
肤	肤	同膚	fu1
敷	敷		fu1
麸	麩		fu1
府	府		fu3
腑	腑		fu3
俯	俯		fu3
甫	甫		fu3
斧	斧		fu3
釜	釜		fu3
辅	輔		fu3
黼	黼		fu3
武	武		fu3
舞	舞		fu3
侮	侮		fu3
鹉	鵡		fu3
付	付		fu5
傅	傅	姓	fu5
赋	賦		fu5
咐	咐		fu5
赴	赴		fu5
讣	訃		fu5
富	富		fu5
副	副		fu5
符	符		vu2
扶	扶		vu2
芙	芙		vu2
无	無		vu2
无	无		vu2
橆	橆		vu2
芜	芜		vu2
芜	蕪		vu2
毋	毋		vu2
巫	巫		vu2
诬	誣		vu2
浮	浮		vu2
抚	撫		vu2
傅	傅	師～（錯讀爲師父）	vu6
父	父		vu6
腐	腐		vu6
附	附		vu6
驸	駙		vu6
务	務		vu6
妩	嫵		fu3
庑	廡		vu6
雾	霧		vu6
妇	婦		vu6
负	負		vu6
戊	戊		vu6
腐	腐		vu6
姑	姑		ku1
沽	沽		ku1
菇	菇		ku1
菰	菰		ku1
苽	苽		ku1
箛	箛		ku1
咕	咕		ku1
咕	咕		ɡu6
孤	孤		ku1
箍	箍		ku1
鸪	鴣		ku1
辜	辜		ku1
古	古		ku3
估	估		ku3
牯	牯		ku3
股	股		ku3
鼓	鼓		ku3
蛊	蠱		ku3
贾	賈		ku3
故	故		ku5
固	固		ku5
锢	錮		ku5
雇	雇	～用，姓	ku5
雇	僱	～用	ku5
顾	顧		ku5
顾	頋	俗顧字	ku5
骷	骷		kʰu1
枯	枯		kʰu1
苦	苦		kʰu3
库	庫		kʰu5
裤	褲		kʰu5
绔	絝		kʰu5
袴	袴		kʰu5
呼	呼		hu1
虍	虍		hu1
虎	虎		hu3
琥	琥		hu3
唬	唬		hu3
浒	滸	水～傳	hu3
浒	滸	～墅關	ɕyᶽ3
吴	吳		ɦu2
吴	吴	俗吳字	ɦu2
蜈	蜈		ɦu2
梧	梧		ɦu2
鹕	鶘	鵜～	ɦu2
醐	醐	醍～	ɦu2
胡	胡	～嚨：喉嚨，～琴	ɦu2
胡	鬍	～鬚	ɦu2
胡	衚	～衕	ɦu2
瑚	瑚		ɦu2
狐	狐		ɦu2
湖	湖		ɦu2
壶	壺		ɦu2
葫	葫		ɦu2
糊	糊		ɦu2
蝴	蝴		ɦu2
乎	乎		ɦu2
误	誤		ɦu6
晤	晤		ɦu6
捂	捂		ɦu6
悟	悟		ɦu6
捂	摀		ɦu6
户	戶		ɦu6
扈	扈		ɦu6
鄠	鄠		ɦu6
沪	滬		ɦu6
互	互		ɦu6
䇘	䇘		ɦu6
弖	弖		ɦu6
护	護		ɦu6
乌	烏		u1
污	污		u1
污	汙		u1
坞	塢		u1
坞	隖		u1
诬	誣		u1
钨	鎢		u1
邬	鄔		u1
伍	伍	（ 文）隊～	u3
午	午	（ 文）	u3
焐	焐	燜	u5
诸	諸		tɕyᶽ1
居	居		tɕyᶽ1
裾	裾		tɕyᶽ1
琚	琚		tɕyᶽ1
崌	崌		tɕyᶽ1
腒	腒		tɕyᶽ1
车	車	～馬炮	tɕyᶽ1
诛	誅		tɕyᶽ1
蛛	蛛	結～：蜘蛛	tɕyᶽ1
蛛	鼄	結～：蜘蛛	tɕyᶽ1
株	株		tɕyᶽ1
侏	侏		tɕyᶽ1
铢	銖		tɕyᶽ1
朱	朱		tɕyᶽ1
朱	硃	～砂	tɕyᶽ1
茱	茱		tɕyᶽ1
珠	珠		tɕyᶽ1
殊	殊		dʑyᶽ2
拘	拘		tɕyᶽ1
驹	駒		tɕyᶽ1
矩	矩		tɕyᶽ3
猪	豬		tɕyᶽ1
褚	褚		tɕʰyᶽ3
渚	渚		tɕyᶽ3
煮	煮		tɕyᶽ3
蒟	蒟		tɕyᶽ3
举	舉		tɕyᶽ3
举	擧		tɕyᶽ3
莒	莒		tɕyᶽ3
柜	柜	～柳	tɕyᶽ3
榉	櫸		tɕyᶽ3
榉	𣟱		tɕyᶽ3
榉	欅		tɕyᶽ3
拄	拄		tɕyᶽ3
主	主		tɕyᶽ3
著	著	～名	tɕyᶽ5
据	据	拮～	tɕyᶽ1
据	據		tɕyᶽ5
锯	鋸	（白）～子	kei5
锯	鋸	（文）	tɕyᶽ5
踞	踞		tɕyᶽ5
倨	倨		tɕyᶽ5
驻	駐		tɕyᶽ5
注	注	～射，～意	tɕyᶽ5
注	註	批～，～釋	tɕyᶽ5
蛀	蛀		tɕyᶽ5
铸	鑄		tɕyᶽ5
句	句		tɕyᶽ5
鳜	鱖		tɕyᶽ5
枢	樞		tɕʰyᶽ1
岖	嶇		tɕʰyᶽ1
区	區	～域	tɕʰyᶽ1
驱	驅		tɕʰyᶽ1
吹	吹		tɕʰyᶽ1
处	處	相～	tɕʰyᶽ3
鼠	鼠		tɕʰyᶽ3
龋	齲		tɕʰyᶽ3
处	處	到～	tɕʰyᶽ5
去	去	（文）除～	tɕʰyᶽ5
磲	磲		dʑyᶽ2
蕖	蕖		dʑyᶽ2
渠	渠		dʑyᶽ2
橱	櫥		dʑyᶽ2
厨	廚		dʑyᶽ2
瞿	瞿		dʑyᶽ2
衢	衢		dʑyᶽ2
蹰	蹰		dʑyᶽ2
蹰	躕		dʑyᶽ2
除	除		dʑyᶽ2
躇	躇		dʑyᶽ2
蜍	蜍		dʑyᶽ2
滁	滁		dʑyᶽ2
储	儲		dʑyᶽ2
椎	椎	脊～	dʑyᶽ2
槌	槌		dʑyᶽ2
飓	颶		dʑyᶽ6
苣	苣		dʑyᶽ6
巨	巨		dʑyᶽ6
巨	鉅	河北鉅鹿縣、山東鉅野縣	dʑyᶽ6
炬	炬		dʑyᶽ6
